time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,prediction
2393838,,,,,,,,1.9453125,-3.6328125,7.8125,0.048828125,-0.177734375,-0.01171875,0.71875,-9.4296875,3.1171875,
2393839,,,,,,,,1.8671875,-3.5625,7.77734375,0.033203125,-0.173828125,-0.044921875,0.640625,-9.39453125,3.15234375,
2393840,,,,,,,,1.828125,-3.46484375,7.578125,0.017578125,-0.166015625,-0.0546875,0.6015625,-9.31640625,3,
2393841,,,,,,,,1.75,-3.33984375,7.5546875,0.001953125,-0.158203125,-0.0625,0.5234375,-9.1953125,3,
2393842,,,,,,,,1.67578125,-3.39453125,7.46875,-0.00390625,-0.15625,-0.08203125,0.44921875,-9.27734375,2.9609375,
2393843,36.01295683,129.3188087,18.81107812,61.78582123,0.2,65535,,1.71484375,-3.32421875,7.40625,-0.021484375,-0.13671875,-0.095703125,0.48828125,-9.234375,2.9609375,
2393844,,,,,,,,1.7421875,-3.26171875,7.4375,-0.0078125,-0.126953125,-0.095703125,0.5234375,-9.1953125,3.0390625,
2393845,,,,,,,,1.58984375,-3.1796875,7.3828125,-0.009765625,-0.12109375,-0.09765625,0.37109375,-9.12890625,3,
2393846,,,,,,,,1.390625,-3.1171875,7.3046875,-0.001953125,-0.10546875,-0.08984375,0.1796875,-9.0859375,2.9609375,
2393847,,,,,,,,1.23046875,-3.125,7.234375,0.0078125,-0.08984375,-0.0859375,0.02734375,-9.12890625,2.9609375,
2393848,,,,,,,,1.3359375,-3.1015625,7.04296875,0.005859375,-0.076171875,-0.087890625,0.140625,-9.125,2.80859375,
2393849,,,,,,,,1.375,-3.12890625,7.171875,0.01171875,-0.06640625,-0.0859375,0.1796875,-9.16015625,2.9609375,
2393850,,,,,,,,1.29296875,-3.17578125,7.37890625,0.064453125,-0.041015625,-0.080078125,0.10546875,-9.234375,3.23046875,
2393851,,,,,,,,1.28515625,-3.14453125,6.90234375,0.08984375,-0.02734375,-0.072265625,0.10546875,-9.23828125,2.80859375,
2393852,,,,,,,,1.4296875,-3.05859375,6.96484375,0.1015625,-0.025390625,-0.0703125,0.2578125,-9.16015625,2.88671875,
2393853,36.0129565,129.3188087,18.8110782,61.74883482,0.2,252,,2.03515625,-2.9453125,7.125,0.13671875,-0.0078125,-0.0546875,0.87109375,-9.08984375,3.1171875,
2393854,,,,,,,,1.875,-3.07421875,7.10546875,0.16015625,0,-0.0625,0.71875,-9.234375,3.15234375,
2393855,,,,,,,,1.4375,-3.1953125,6.9375,0.208984375,0.015625,-0.0703125,0.296875,-9.39453125,3.0390625,
2393856,,,,,,,,1.45703125,-3.1953125,6.890625,0.279296875,0.017578125,-0.0703125,0.33203125,-9.4296875,3.078125,
2393857,,,,,,,,2.1328125,-2.92578125,6.8359375,0.3046875,0.02734375,-0.060546875,1.0234375,-9.1953125,3.078125,
2393858,,,,,,,,2.4296875,-2.828125,6.85546875,0.33203125,0.03125,-0.052734375,1.328125,-9.125,3.15234375,
2393859,,,,,,,,2.5078125,-2.734375,6.75,0.3515625,0.0234375,-0.046875,1.40625,-9.05078125,3.078125,
2393860,,,,,,,,2.53125,-2.6875,6.6875,0.369140625,0.009765625,-0.0546875,1.4453125,-9.046875,3.1171875,
2393861,,,,,,,,2.5625,-2.6171875,6.66015625,0.34765625,0.001953125,-0.04296875,1.484375,-9.0078125,3.15234375,
2393862,,,,,,,,2.390625,-2.578125,6.64453125,0.3203125,-0.0078125,-0.017578125,1.328125,-9.01171875,3.19140625,
2393863,36.01295633,129.3188087,18.81107824,61.73034161,0.2,65535,,2.19921875,-2.6328125,6.390625,0.13671875,-0.0078125,-0.0546875,1.13671875,-9.08984375,3,
2393864,,,,,,,,2.125,-2.83984375,6.3671875,0.28125,-0.0390625,0.013671875,1.0625,-9.31640625,3.0390625,
2393865,,,,,,,,2.15625,-2.8828125,6.3125,0.25390625,-0.0546875,0.029296875,1.1015625,-9.390625,3.0390625,
