,time,latitude,longitude,enu_x,enu_y,speed,course,altitude,sat_num,hdop
1067,4479950,36.01271316666667,129.31900983333335,36.94615292886985,34.748810970064206,1.4244954360000002,143.82,,,
1068,4479960,36.01271216666667,129.31901083333332,37.03630260631909,34.63785211315614,1.427067656,144.0,,,
1069,4479970,36.01271116666667,129.31901183333332,37.12645229107622,34.526893257284094,1.415749888,142.58,,,
1070,4479980,36.01271033333333,129.31901283333335,37.216601901775064,34.43442760781401,1.3807676960000002,141.43,,,
1071,4479990,36.01270933333333,129.31901383333334,37.30675159089286,34.323468754374446,1.411634336,141.12,,,
1072,4480000,36.01270833333333,129.31901483333334,37.39690127938963,34.21250990038955,1.41214878,140.62,,,
1073,4480010,36.01270733333333,129.31901583333334,37.487050973523424,34.101551048667474,1.392599908,139.3,,,
1074,4480020,36.0127065,129.31901683333334,37.57720058996212,34.00908540445921,1.3617332679999998,139.42,,,
1075,4480030,36.01270566666667,129.31901766666667,37.65232533834154,33.91661969590865,1.316462196,140.56,,,
1076,4480040,36.012704666666664,129.31901866666666,37.74247503598511,33.805660845853296,1.3432132840000002,140.53,,,
1077,4480050,36.01270366666667,129.31901966666666,37.83262473811973,33.6947019978365,1.385397692,139.4,,,
1078,4480060,36.01270266666667,129.3190206666667,37.92277444451557,33.58374315126119,1.400831012,140.44,,,
1079,4480070,36.012701666666665,129.31902166666666,38.01292414845482,33.472784304008265,1.405461008,140.24,,,
1080,4480080,36.012700833333334,129.31902283333332,38.11809864596965,33.380318729565055,1.382311028,138.14,,,
1081,4480090,36.0127,129.31902383333332,38.208248276440756,33.28785309102108,1.346814392,137.76,,,
1082,4480100,36.012699,129.31902483333334,38.29839799191818,33.176894247630585,1.378195476,138.37,,,
1083,4480110,36.012698,129.31902583333334,38.388547707790146,33.06593540544293,1.398773236,137.72,,,
1084,4480120,36.01269716666666,129.319027,38.4937222162873,32.973469835061515,1.396201016,137.49,,,
1085,4480130,36.01269633333333,129.31902783333334,38.56884698096347,32.88100413451001,1.3339532920000001,137.98,,,
1086,4480140,36.0126955,129.31902866666667,38.64397174931072,32.78853843497633,1.274277788,138.97,,,
1087,4480150,36.012694499999995,129.31902966666667,38.73412147308406,32.677579595502934,1.305658872,138.9,,,
1088,4480160,36.0126935,129.31903066666666,38.82427119712155,32.5666207576263,1.3745943680000001,138.7,,,
1089,4480170,36.0126925,129.3190316666667,38.91442092810665,32.45566192095917,1.387969912,139.37,,,
1090,4480180,36.01269166666667,129.3190326666667,39.00457057648018,32.3631962907027,1.355045496,139.91,,,
1091,4480190,36.01269066666667,129.31903383333335,39.10974518198494,32.25223752291605,1.3833399160000002,138.65,,,
1092,4480200,36.01268983333333,129.31903466666665,39.18486995725229,32.15977182723143,1.3411555080000002,138.42,,,
1093,4480210,36.01268883333333,129.31903566666668,39.27501969659849,32.04881299258942,1.370478816,139.45,,,
1094,4480220,36.01268783333333,129.31903666666668,39.36516943597899,31.937854161207078,1.385912136,139.26,,,
1095,4480230,36.012687,129.31903783333334,39.47034396791949,31.845388603522935,1.3751088120000001,138.07,,,
