$GNRMC,122645.80,A,3600.76062,N,12919.15537,E,2.373,144.54,260620,,,A*7C
$GNRMC,122645.90,A,3600.76051,N,12919.15535,E,2.234,143.04,260620,,,A*7F
$GNRMC,122646.00,A,3600.76034,N,12919.15534,E,2.481,143.36,260620,,,A*7E
$GNRMC,122646.10,A,3600.76032,N,12919.15538,E,2.454,144.41,260620,,,A*7A
$GNRMC,122646.20,A,3600.76012,N,12919.15531,E,2.702,144.50,260620,,,A*72
$GNRMC,122646.30,A,3600.75990,N,12919.15523,E,2.672,141.90,260620,,,A*7F
$GNRMC,122646.40,A,3600.75990,N,12919.15527,E,2.293,141.37,260620,,,A*7A
$GNRMC,122646.50,A,3600.75972,N,12919.15509,E,2.233,149.49,260620,,,A*70
$GNRMC,122646.60,A,3600.75967,N,12919.15500,E,1.914,155.19,260620,,,A*7B
$GNRMC,122646.70,A,3600.75948,N,12919.15488,E,2.293,154.32,260620,,,A*79
$GNRMC,122646.80,A,3600.75930,N,12919.15477,E,2.209,155.68,260620,,,A*74
$GNRMC,122646.90,A,3600.75924,N,12919.15474,E,2.322,154.10,260620,,,A*75
$GNRMC,122647.00,A,3600.75953,N,12919.15499,E,2.445,150.18,260620,,,A*74
$GNRMC,122647.10,A,3600.75948,N,12919.15493,E,2.364,148.94,260620,,,A*7C
$GNRMC,122647.20,A,3600.75951,N,12919.15497,E,2.621,149.87,260620,,,A*74
$GNRMC,122647.30,A,3600.75965,N,12919.15512,E,2.741,148.01,260620,,,A*76
$GNRMC,122647.40,A,3600.75950,N,12919.15506,E,2.589,145.70,260620,,,A*7F
$GNRMC,122647.50,A,3600.75945,N,12919.15507,E,2.570,145.25,260620,,,A*7D
$GNRMC,122647.60,A,3600.75926,N,12919.15496,E,2.547,142.50,260620,,,A*73
$GNRMC,122647.70,A,3600.75907,N,12919.15487,E,2.557,141.59,260620,,,A*7A
$GNRMC,122647.80,A,3600.75895,N,12919.15483,E,2.447,140.97,260620,,,A*78
$GNRMC,122647.90,A,3600.75885,N,12919.15482,E,2.532,140.56,260620,,,A*77
$GNRMC,122648.00,A,3600.75879,N,12919.15482,E,2.246,140.37,260620,,,A*71
$GNRMC,122648.10,A,3600.75940,N,12919.15523,E,2.474,140.66,260620,,,A*72
$GNRMC,122648.20,A,3600.76075,N,12919.15597,E,2.621,141.44,260620,,,A*71
$GNRMC,122648.30,A,3600.76144,N,12919.15640,E,2.613,139.62,260620,,,A*70
$GNRMC,122648.40,A,3600.76138,N,12919.15630,E,2.674,142.03,260620,,,A*71
$GNRMC,122648.50,A,3600.76126,N,12919.15623,E,2.767,139.16,260620,,,A*76
$GNRMC,122648.60,A,3600.76089,N,12919.15596,E,2.563,137.88,260620,,,A*73
$GNRMC,122648.70,A,3600.76078,N,12919.15587,E,2.642,138.53,260620,,,A*75
$GNRMC,122648.80,A,3600.76072,N,12919.15582,E,2.569,137.07,260620,,,A*71
$GNRMC,122648.90,A,3600.76048,N,12919.15563,E,2.652,136.48,260620,,,A*77
$GNRMC,122649.00,A,3600.76050,N,12919.15563,E,2.486,136.66,260620,,,A*71
$GNRMC,122649.10,A,3600.76075,N,12919.15579,E,2.398,136.41,260620,,,A*71
$GNRMC,122649.20,A,3600.76055,N,12919.15561,E,2.262,137.44,260620,,,A*79
$GNRMC,122649.30,A,3600.76034,N,12919.15543,E,2.574,138.54,260620,,,A*71
$GNRMC,122649.40,A,3600.75997,N,12919.15517,E,2.656,140.23,260620,,,A*78
$GNRMC,122649.50,A,3600.75964,N,12919.15493,E,2.592,140.89,260620,,,A*73
