time,latitude,longitude,enu_x,enu_y,speed,course,Hrage,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
3808942,,,,,,,,0.54296875,0.70703125,-0.9765625,0.08203125,0.0390625,0.0703125,0.0,180.0,360.0
3808943,,,,,,,,0.54296875,0.70703125,-0.9765625,-0.0078125,0.03125,0.099609375,0.0,180.0,360.0
3808944,,,,,,,,0.75,-0.13671875,-1.13671875,-0.0078125,0.03125,0.099609375,0.0,180.0,360.0
3808945,,,,,,,,0.75,-0.13671875,-1.13671875,-0.11328125,0.015625,0.12109375,0.0,180.0,360.0
3808946,,,,,,,,0.75,-0.13671875,-1.13671875,-0.11328125,-0.03125,0.12890625,0.0,180.0,360.0
3808947,,,,,,,,0.28125,-1.82421875,-0.5625,-0.11328125,-0.03125,0.12890625,0.0,180.0,360.0
3808948,,,,,,,,0.28125,-1.82421875,-0.5625,-0.015625,-0.09375,0.123046875,0.0,180.0,360.0
3808949,,,,,,,,-0.0390625,-2.359375,-0.15625,-0.015625,-0.09375,0.123046875,0.0,180.0,360.0
3808950,36.013073500000004,129.32013700000002,138.55871148708127,74.7321386891335,1.0,240.0,,-0.0390625,-2.359375,-0.15625,-0.046875,-0.103515625,0.130859375,0.0,180.0,360.0
3808951,,,,,,,,-0.1015625,-2.04296875,-0.234375,-0.046875,-0.103515625,0.130859375,0.0,180.0,360.0
3808952,,,,,,,,-0.1015625,-2.04296875,-0.234375,-0.357421875,-0.08984375,0.1484375,0.0,180.0,360.0
3808953,,,,,,,,0.71875,-0.84765625,-1.08203125,-0.357421875,-0.08984375,0.1484375,0.0,180.0,360.0
3808954,,,,,,,,0.71875,-0.84765625,-1.08203125,-0.71875,-0.123046875,0.158203125,0.0,180.0,360.0
3808955,,,,,,,,0.94921875,-1.76953125,-0.91796875,-0.71875,-0.123046875,0.158203125,0.0,180.0,360.0
3808956,,,,,,,,0.94921875,-1.76953125,-0.91796875,-0.720703125,-0.119140625,0.107421875,0.0,180.0,360.0
3808957,,,,,,,,0.94921875,-1.76953125,-0.91796875,-0.625,-0.0703125,0.09375,0.0,180.0,360.0
3808958,,,,,,,,0.0078125,-2.78515625,0.39453125,-0.625,-0.0703125,0.09375,0.0,180.0,360.0
3808959,,,,,,,,0.0078125,-2.78515625,0.39453125,-0.08984375,0.080078125,-0.017578125,0.0,180.0,360.0
3808960,36.013072666666666,129.32013583333335,138.4535393404056,74.63967099579054,1.0,236.0,,-0.40625,-2.265625,1.5078125,-0.08984375,0.080078125,-0.017578125,0.0,180.0,360.0
3808961,,,,,,,,-0.40625,-2.265625,1.5078125,-0.130859375,0.13671875,-0.048828125,0.0,180.0,360.0
3808962,,,,,,,,-0.09765625,-0.80859375,1.4453125,-0.130859375,0.13671875,-0.048828125,0.0,180.0,360.0
3808963,,,,,,,,-0.09765625,-0.80859375,1.4453125,0.025390625,0.333984375,-0.15234375,0.0,180.0,360.0
3808964,,,,,,,,1.03515625,-0.79296875,1.8359375,0.025390625,0.333984375,-0.15234375,0.0,180.0,360.0
3808965,,,,,,,,1.03515625,-0.79296875,1.8359375,0.06640625,0.423828125,-0.2109375,0.0,180.0,360.0
3808966,,,,,,,,1.03515625,-0.79296875,1.8359375,0.06640625,0.423828125,-0.2109375,0.0,180.0,360.0
3808967,,,,,,,,1.03515625,-0.79296875,1.8359375,0.037109375,0.373046875,-0.2578125,0.0,180.0,360.0
3808968,,,,,,,,-0.109375,-0.83984375,1.890625,0.037109375,0.373046875,-0.2578125,0.0,180.0,360.0
3808969,,,,,,,,-0.109375,-0.83984375,1.890625,0.173828125,0.390625,-0.302734375,0.0,180.0,360.0
3808970,36.013072,129.32013516666666,138.39344129897677,74.5656972203982,1.0,229.0,,-0.109375,-0.83984375,1.890625,0.25390625,0.384765625,-0.28515625,0.0,180.0,360.0
3808971,,,,,,,,-0.390625,-0.43359375,1.484375,0.25390625,0.384765625,-0.28515625,0.0,180.0,360.0
3808972,,,,,,,,-0.390625,-0.43359375,1.484375,0.248046875,0.35546875,-0.26171875,0.0,180.0,360.0
3808973,,,,,,,,-0.69921875,0.02734375,0.77734375,0.248046875,0.35546875,-0.26171875,0.0,180.0,360.0
3808974,,,,,,,,-0.69921875,0.02734375,0.77734375,0.220703125,0.318359375,-0.271484375,0.0,180.0,360.0
3808975,,,,,,,,-0.69921875,0.02734375,0.77734375,0.220703125,0.318359375,-0.271484375,0.0,180.0,360.0
3808976,,,,,,,,-0.69921875,0.02734375,0.77734375,0.208984375,0.275390625,-0.3046875,0.0,180.0,360.0
3808977,,,,,,,,-0.41796875,2.36328125,-0.91796875,0.208984375,0.275390625,-0.3046875,0.0,180.0,360.0
3808978,,,,,,,,-0.41796875,2.36328125,-0.91796875,0.224609375,0.271484375,-0.326171875,0.0,180.0,360.0
3808979,,,,,,,,-0.41796875,2.36328125,-0.91796875,0.21484375,0.2578125,-0.326171875,0.0,180.0,360.0
3808980,36.01307033333333,129.320133,138.1981217960603,74.38076207309251,1.2000000000000002,227.0,,-1.20703125,2.76171875,-1.171875,0.21484375,0.2578125,-0.326171875,0.0,180.0,360.0
3808981,,,,,,,,-1.20703125,2.76171875,-1.171875,0.142578125,0.2265625,-0.279296875,0.0,180.0,360.0
3808982,,,,,,,,-1.484375,2.5546875,-1.36328125,0.142578125,0.2265625,-0.279296875,0.0,180.0,360.0
3808983,,,,,,,,-1.484375,2.5546875,-1.36328125,0.109375,0.16015625,-0.2265625,0.0,180.0,360.0
3808984,,,,,,,,-1.67578125,2.0078125,-1.2421875,0.109375,0.16015625,-0.2265625,0.0,180.0,360.0
3808985,,,,,,,,-1.67578125,2.0078125,-1.2421875,0.109375,0.12109375,-0.19140625,0.0,180.0,360.0
3808986,,,,,,,,-1.5703125,1.76171875,-1.08203125,0.109375,0.12109375,-0.19140625,0.0,180.0,360.0
3808987,,,,,,,,-1.5703125,1.76171875,-1.08203125,0.13671875,0.0546875,-0.15234375,0.0,180.0,360.0
3808988,,,,,,,,-1.5703125,1.76171875,-1.08203125,0.138671875,0.00390625,-0.14453125,0.0,180.0,360.0
3808989,,,,,,,,-1.6015625,1.5859375,-1.15234375,0.138671875,0.00390625,-0.14453125,0.0,180.0,360.0
3808990,36.01306966666667,129.3201318333333,138.09294935025898,74.30678759061156,1.2000000000000002,230.0,,-1.6015625,1.5859375,-1.15234375,0.103515625,-0.017578125,-0.142578125,0.0,180.0,360.0
3808991,,,,,,,,-1.3671875,1.42578125,-1.17578125,0.103515625,-0.017578125,-0.142578125,0.0,180.0,360.0
3808992,,,,,,,,-1.3671875,1.42578125,-1.17578125,0.060546875,-0.033203125,-0.150390625,0.0,180.0,360.0
3808993,,,,,,,,-1.15234375,1.06640625,-1.23046875,0.060546875,-0.033203125,-0.150390625,0.0,180.0,360.0
3808994,,,,,,,,-1.15234375,1.06640625,-1.23046875,0.01953125,-0.0625,-0.15625,0.0,180.0,360.0
3808995,,,,,,,,-1.15234375,1.06640625,-1.23046875,0.01953125,-0.0625,-0.15625,0.0,180.0,360.0
3808996,,,,,,,,-1.15234375,1.06640625,-1.23046875,-0.005859375,-0.11328125,-0.15234375,0.0,180.0,360.0
3808997,,,,,,,,-1.4296875,-1.06640625,-0.265625,-0.005859375,-0.11328125,-0.15234375,0.0,180.0,360.0
3808998,,,,,,,,-1.4296875,-1.06640625,-0.265625,-0.041015625,-0.181640625,-0.1484375,0.0,180.0,360.0
3808999,,,,,,,,-1.4296875,-1.06640625,-0.265625,-0.142578125,-0.205078125,-0.1484375,0.0,180.0,360.0
3809000,36.0130685,129.3201295,137.8826041652295,74.17733183751132,1.2000000000000002,233.0,123.0,-0.76953125,-0.64453125,-0.66796875,-0.142578125,-0.205078125,-0.1484375,0.0,180.0,360.0
3809001,,,,,,,,-0.76953125,-0.64453125,-0.66796875,-0.142578125,-0.205078125,-0.1484375,0.0,180.0,360.0
3809002,,,,,,,,-0.76953125,-0.64453125,-0.66796875,-0.30859375,-0.185546875,-0.138671875,0.0,180.0,360.0
3809003,,,,,,,,0.7890625,3.52734375,-1.6171875,-0.30859375,-0.185546875,-0.138671875,0.0,180.0,360.0
3809004,,,,,,,,0.7890625,3.52734375,-1.6171875,0.291015625,0.08984375,0.26171875,0.0,180.0,360.0
3809005,,,,,,,,1.1484375,3.7421875,-1.6328125,0.291015625,0.08984375,0.26171875,0.0,180.0,360.0
3809006,,,,,,,,1.1484375,3.7421875,-1.6328125,0.193359375,0.138671875,0.20703125,0.0,180.0,360.0
3809007,,,,,,,,1.1171875,3.28125,-1.59375,0.193359375,0.138671875,0.20703125,0.0,180.0,360.0
3809008,,,,,,,,1.1171875,3.28125,-1.59375,0.123046875,0.1640625,0.154296875,0.0,180.0,360.0
3809009,,,,,,,,1.1171875,3.28125,-1.59375,0.078125,0.15234375,0.138671875,0.0,180.0,360.0
3809010,36.01306683333333,129.32012583333332,137.55206142417683,73.99239458268896,1.3,239.0,,0.74609375,2.546875,-1.09765625,0.078125,0.15234375,0.138671875,0.0,180.0,360.0
3809011,,,,,,,,0.74609375,2.546875,-1.09765625,0.087890625,0.162109375,0.12890625,0.0,180.0,360.0
3809012,,,,,,,,0.73828125,2.1484375,-0.98828125,0.087890625,0.162109375,0.12890625,0.0,180.0,360.0
3809013,,,,,,,,0.73828125,2.1484375,-0.98828125,0.1171875,0.15234375,0.111328125,0.0,180.0,360.0
3809014,,,,,,,,0.609375,1.53515625,-0.9375,0.1171875,0.15234375,0.111328125,0.0,180.0,360.0
3809015,,,,,,,,0.609375,1.53515625,-0.9375,0.087890625,0.146484375,0.107421875,0.0,180.0,360.0
3809016,,,,,,,,0.59375,1.296875,-1.07421875,0.087890625,0.146484375,0.107421875,0.0,180.0,360.0
3809017,,,,,,,,0.59375,1.296875,-1.07421875,0.087890625,0.146484375,0.107421875,0.0,180.0,360.0
3809018,,,,,,,,0.59375,1.296875,-1.07421875,-0.15625,0.08203125,0.169921875,0.0,180.0,360.0
3809019,,,,,,,,0.85546875,0.3828125,-1.16015625,-0.15625,0.08203125,0.169921875,0.0,180.0,360.0
3809020,36.01306616666667,129.32012466666666,137.44688896852168,73.91842010804724,1.3,236.0,,0.85546875,0.3828125,-1.16015625,-0.302734375,0.111328125,0.17578125,0.0,180.0,360.0
3809021,,,,,,,,0.85546875,0.3828125,-1.16015625,-0.3046875,0.123046875,0.15625,0.0,180.0,360.0
3809022,,,,,,,,1.24609375,-1.515625,-0.734375,-0.3046875,0.123046875,0.15625,0.0,180.0,360.0
3809023,,,,,,,,1.24609375,-1.515625,-0.734375,-0.232421875,0.041015625,0.119140625,0.0,180.0,360.0
3809024,,,,,,,,0.92578125,-2.04296875,-0.18359375,-0.232421875,0.041015625,0.119140625,0.0,180.0,360.0
3809025,,,,,,,,0.92578125,-2.04296875,-0.18359375,-0.169921875,0.037109375,0.080078125,0.0,180.0,360.0
3809026,,,,,,,,0.92578125,-2.04296875,-0.18359375,-0.169921875,0.037109375,0.080078125,0.0,180.0,360.0
