time,latitude,longitude,enu_x,enu_y,speed,course,Hrage,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
3828100,36.013082000000004,129.320178,142.25479716933566,75.6753513301528,1.3,41.0,123.0,-0.74609375,-22.12890625,5.140625,0.041015625,1.91796875,-0.169921875,0.0,180.0,360.0
3828101,,,,,,,,-0.74609375,-22.12890625,5.140625,0.041015625,1.91796875,-0.169921875,0.0,180.0,360.0
3828102,,,,,,,,-0.74609375,-22.12890625,5.140625,1.0703125,2.2265625,-0.125,0.0,180.0,360.0
3828103,,,,,,,,-0.74609375,-22.12890625,5.140625,0.26953125,1.8515625,-0.462890625,0.0,180.0,360.0
3828104,,,,,,,,1.625,2.45703125,-1.046875,0.26953125,1.8515625,-0.462890625,0.0,180.0,360.0
3828105,,,,,,,,1.625,2.45703125,-1.046875,0.92578125,2.19140625,-0.5546875,0.0,180.0,360.0
3828106,,,,,,,,-1.4296875,5.6640625,-2.0390625,0.92578125,2.19140625,-0.5546875,0.0,180.0,360.0
3828107,,,,,,,,-1.4296875,5.6640625,-2.0390625,0.884765625,2.1875,-0.5,0.0,180.0,360.0
3828108,,,,,,,,-1.4296875,5.6640625,-2.0390625,0.67578125,2.0625,-0.4296875,0.0,180.0,360.0
3828109,,,,,,,,-1.38671875,7.15625,-2.25390625,0.67578125,2.0625,-0.4296875,0.0,180.0,360.0
3828110,36.01308083333333,129.32017816666666,142.26982406416536,75.54589912273028,1.1,44.0,,-1.38671875,7.15625,-2.25390625,0.189453125,2.22265625,-0.404296875,0.0,180.0,360.0
3828111,,,,,,,,-1.046875,5.90234375,-2.37890625,0.189453125,2.22265625,-0.404296875,0.0,180.0,360.0
3828112,,,,,,,,-1.046875,5.90234375,-2.37890625,-0.046875,2.365234375,-0.421875,0.0,180.0,360.0
3828113,,,,,,,,-0.55078125,2.3671875,-0.6484375,-0.046875,2.365234375,-0.421875,0.0,180.0,360.0
3828114,,,,,,,,-0.55078125,2.3671875,-0.6484375,-0.1953125,2.400390625,-0.369140625,0.0,180.0,360.0
3828115,,,,,,,,-0.80078125,-0.05078125,-1.23828125,-0.1953125,2.400390625,-0.369140625,0.0,180.0,360.0
3828116,,,,,,,,-0.80078125,-0.05078125,-1.23828125,-0.125,2.419921875,-0.345703125,0.0,180.0,360.0
3828117,,,,,,,,-0.80078125,-0.05078125,-1.23828125,-0.1640625,2.3203125,-0.30078125,0.0,180.0,360.0
3828118,,,,,,,,-3.02734375,-4.85546875,0.0546875,-0.1640625,2.3203125,-0.30078125,0.0,180.0,360.0
3828119,,,,,,,,-3.02734375,-4.85546875,0.0546875,0.13671875,2.009765625,-0.18359375,0.0,180.0,360.0
3828120,36.0130815,129.32017933333333,142.37499646024804,75.6198736552637,1.0,47.0,,-4.8359375,-6.234375,2.3671875,0.13671875,2.009765625,-0.18359375,0.0,180.0,360.0
3828121,,,,,,,,-4.8359375,-6.234375,2.3671875,0.45703125,2.134765625,-0.13671875,0.0,180.0,360.0
3828122,,,,,,,,-4.609375,-3.35546875,-0.5390625,0.45703125,2.134765625,-0.13671875,0.0,180.0,360.0
3828123,,,,,,,,-4.609375,-3.35546875,-0.5390625,0.169921875,1.97265625,-0.115234375,0.0,180.0,360.0
3828124,,,,,,,,-3.328125,-2.3671875,-0.59375,0.169921875,1.97265625,-0.115234375,0.0,180.0,360.0
3828125,,,,,,,,-3.328125,-2.3671875,-0.59375,0.115234375,1.94921875,-0.212890625,0.0,180.0,360.0
3828126,,,,,,,,-1.81640625,-0.95703125,-1.43359375,0.115234375,1.94921875,-0.212890625,0.0,180.0,360.0
3828127,,,,,,,,-1.81640625,-0.95703125,-1.43359375,0.23046875,1.94140625,-0.3515625,0.0,180.0,360.0
3828128,,,,,,,,-1.81640625,-0.95703125,-1.43359375,0.173828125,2.0234375,-0.43359375,0.0,180.0,360.0
3828129,,,,,,,,-2.29296875,0.7109375,-2.27734375,0.173828125,2.0234375,-0.43359375,0.0,180.0,360.0
3828130,36.01308066666666,129.32017933333333,142.37499795871668,75.52740761852657,0.7000000000000001,50.0,,-2.29296875,0.7109375,-2.27734375,0.173828125,2.0234375,-0.43359375,0.0,180.0,360.0
3828131,,,,,,,,-2.29296875,0.7109375,-2.27734375,0.10546875,2.046875,-0.47265625,0.0,180.0,360.0
3828132,,,,,,,,-2.58203125,1.453125,-1.85546875,0.10546875,2.046875,-0.47265625,0.0,180.0,360.0
