time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,validity
3317310,36.01302016666667,129.31896633333332,33.02453405214215,68.81328178929648,3.1,236.0,,4.8046875,5.4921875,5.26171875,0.3359375,0.009765625,0.359375,1.90625,1.1484375,3.21484375,1.0
3317311,,,,,,,,6.08984375,0.98828125,5.5546875,-1.650390625,0.08203125,0.607421875,3.20703125,-3.33203125,3.4453125,1.0
3317312,,,,,,,,7.71484375,-14.375,3.80078125,-1.74609375,0.1015625,1.203125,4.81640625,-18.65625,1.64453125,1.0
3317313,,,,,,,,2.359375,-39.7890625,12.359375,-1.380859375,0.73046875,2.216796875,-0.5859375,-44.015625,10.1484375,1.0
3317314,,,,,,,,-20.97265625,-60.8515625,23.25390625,-1.4609375,0.533203125,2.56640625,-23.98828125,-65.0078125,20.98828125,1.0
3317315,,,,,,,,-6.76953125,-21.3671875,8.31640625,0.515625,-0.435546875,1.677734375,-9.85546875,-25.4765625,6.05078125,1.0
3317316,,,,,,,,3.24609375,-13.8046875,1.03515625,-1.37109375,-0.275390625,-0.89453125,0.14453125,-17.93359375,-1.19140625,1.0
3317317,,,,,,,,16.90234375,-14.421875,4.33203125,-1.109375,0.017578125,-3.08984375,13.89453125,-18.62109375,2.06640625,1.0
3317318,,,,,,,,10.93359375,-12.51953125,10.7421875,-1.51953125,-0.310546875,-2.560546875,8.07421875,-16.81640625,8.4609375,1.0
3317319,,,,,,,,6.53515625,-15.33984375,5.51953125,-4.396484375,-0.80078125,-0.353515625,3.74609375,-19.65234375,3.13671875,1.0
3317320,36.0130185,129.31896366666666,32.78413777135392,68.62834881792547,3.0,233.0,,7.23046875,-14.73828125,2.51953125,0.3359375,0.009765625,0.359375,4.43359375,-18.96484375,-0.00390625,1.0
3317321,,,,,,,,5.4140625,-12.00390625,1.28125,-3.0625,-1.119140625,0.216796875,2.59375,-16.1640625,-1.34375,1.0
3317322,,,,,,,,3.9453125,-12.140625,2.1875,-2.638671875,-1.546875,0.484375,-0.66015625,-16.66796875,0.87890625,1.0
3317323,,,,,,,,0.67578125,-12.6640625,4.9296875,-2.826171875,-1.650390625,0.759765625,-2.19140625,-16.78125,2.21875,1.0
3317324,,,,,,,,-0.45703125,-12.2578125,6.43359375,-3.0,-1.76171875,1.005859375,-3.53515625,-15.48046875,3.7109375,1.0
3317325,,,,,,,,-0.97265625,-6.92578125,4.5703125,-2.759765625,-1.701171875,0.58203125,-3.95703125,-10.91796875,1.7578125,1.0
3317326,,,,,,,,-1.109375,-5.44140625,3.546875,-2.76171875,-1.576171875,-0.076171875,-4.68359375,-6.89453125,-1.45703125,1.0
3317327,,,,,,,,-1.8828125,-1.87109375,0.375,-3.013671875,-1.49609375,-0.4453125,-5.3359375,-4.67578125,-3.4140625,1.0
3317328,,,,,,,,-2.2734375,-0.76953125,-0.4765625,-3.1015625,-1.443359375,-0.384765625,-5.6796875,-3.640625,-3.94921875,1.0
3317329,,,,,,,,-2.82421875,2.41015625,-0.90234375,-3.0703125,-1.30078125,0.228515625,-5.640625,-0.73046875,-3.7578125,1.0
3317330,36.01301766666666,129.318961,32.543741136698074,68.53588188877778,2.7,239.0,,-2.41796875,3.65625,-0.07421875,-2.91796875,-1.05859375,1.09765625,-5.52734375,0.99609375,-2.4921875,1.0
3317331,,,,,,,,-1.703125,5.9375,2.6015625,-2.765625,-0.921875,1.7265625,-4.875,2.21875,-0.5390625,1.0
3317332,,,,,,,,-1.40234375,6.11328125,3.09375,-2.52734375,-0.9296875,1.978515625,-4.07421875,3.29296875,0.41796875,1.0
3317333,,,,,,,,0.109375,7.0703125,3.5703125,-2.013671875,-0.947265625,1.90234375,-2.9609375,3.671875,0.265625,1.0
3317334,,,,,,,,0.68359375,6.80078125,3.484375,-1.33203125,-0.89453125,1.658203125,-2.578125,1.68359375,0.07421875,1.0
3317335,,,,,,,,0.41015625,2.84375,2.99609375,-0.373046875,-0.720703125,1.54296875,-3.34375,-1.45703125,-0.42578125,1.0
3317336,,,,,,,,0.08984375,1.203125,2.796875,0.0078125,-0.513671875,1.5859375,-3.6875,-2.60546875,-0.65234375,1.0
3317337,,,,,,,,-0.19921875,0.375,2.54296875,-0.00390625,-0.30078125,1.470703125,-3.953125,-2.94921875,-0.34765625,1.0
3317338,,,,,,,,0.078125,0.4765625,3.140625,-0.216796875,-0.291015625,1.16015625,-3.26953125,-2.375,0.07421875,1.0
3317339,,,,,,,,1.34375,2.109375,3.67578125,-0.3125,-0.37109375,0.6171875,-2.38671875,-1.1484375,0.41796875,1.0
3317340,36.01301683333334,129.31895783333331,32.25827005974606,68.4434148020555,3.0,244.0,,2.8203125,3.83984375,3.8203125,-0.1015625,-0.419921875,-0.048828125,-5.52734375,0.99609375,-2.4921875,1.0
3317341,,,,,,,,3.47265625,4.515625,3.8671875,0.212890625,-0.43359375,-0.59375,-0.27734375,1.1875,0.6484375,1.0
3317342,,,,,,,,4.25390625,4.5,5.0234375,0.37109375,-0.435546875,-0.94921875,0.52734375,1.109375,1.83984375,1.0
3317343,,,,,,,,3.9296875,4.15625,6.5390625,0.376953125,-0.421875,-1.05078125,0.21875,0.7265625,3.37109375,1.0
3317344,,,,,,,,3.1015625,3.62890625,8.33203125,0.21875,-0.421875,-1.279296875,-0.546875,0.07421875,5.203125,1.0
3317345,,,,,,,,2.98828125,3.984375,8.921875,0.1875,-0.431640625,-1.462890625,-0.62109375,0.34375,5.82421875,1.0
3317346,,,,,,,,2.328125,4.796875,8.27734375,0.375,-0.439453125,-1.529296875,-1.234375,1.0703125,5.20703125,1.0
3317347,,,,,,,,2.9140625,0.921875,4.7734375,0.259765625,-0.568359375,-0.265625,-0.5859375,-2.91796875,1.7578125,1.0
3317348,,,,,,,,4.75390625,-5.44921875,3.5625,0.328125,-0.6171875,0.345703125,1.25390625,-9.30859375,0.5703125,1.0
3317349,,,,,,,,7.90234375,-23.9140625,2.98046875,0.42578125,-0.669921875,1.435546875,4.35546875,-27.7734375,0.03515625,1.0
3317350,36.013016,129.31895466666668,31.972798983981022,68.3509477235864,3.0,248.0,,20.66796875,-73.984375,14.35546875,-0.0703125,-0.75,2.359375,17.03515625,-77.80859375,11.44921875,1.0
3317351,,,,,,,,3.3984375,-45.12890625,11.609375,-0.765625,-0.84375,3.251953125,3.3984375,-45.125,21.41015625,1.0
3317352,,,,,,,,-1.46484375,-24.78515625,-7.58203125,-1.4609375,-1.09765625,2.95703125,-1.46484375,-24.78515625,2.21875,1.0
3317353,,,,,,,,-4.72265625,-20.5703125,-11.06640625,-1.171875,-0.50390625,0.390625,-4.72265625,-20.5703125,-1.265625,1.0
3317354,,,,,,,,-10.46875,-13.75390625,-12.140625,-1.1484375,0.560546875,-4.984375,-10.46875,-13.75390625,-2.33984375,1.0
3317355,,,,,,,,-10.16015625,-11.9921875,-10.72265625,1.203125,-0.130859375,-4.0859375,-10.16015625,-11.99609375,-0.921875,1.0
3317356,,,,,,,,-4.953125,-12.87109375,-6.1640625,2.146484375,0.140625,-1.302734375,-4.953125,-12.87109375,3.63671875,1.0
3317357,,,,,,,,-3.07421875,-15.9375,-8.578125,1.322265625,0.236328125,0.634765625,-3.07421875,-15.9375,1.22265625,1.0
3317358,,,,,,,,-2.0390625,-15.9375,-9.34375,0.802734375,0.0234375,0.81640625,-2.0390625,-15.94140625,0.45703125,1.0
3317359,,,,,,,,1.67578125,-16.47265625,-8.5390625,0.453125,0.43359375,0.84375,1.67578125,-16.46875,1.26171875,1.0
3317360,36.013015333333335,129.31895216666666,31.747427075787144,68.2769740778055,2.5,249.0,,2.94140625,-15.8203125,-6.27734375,-0.0703125,-0.75,2.359375,17.03515625,-77.80859375,11.44921875,1.0
3317361,,,,,,,,2.40234375,-14.05859375,-5.51171875,1.177734375,0.849609375,1.359375,2.40234375,-14.0546875,4.2890625,1.0
3317362,,,,,,,,1.75390625,-12.98828125,-7.3515625,0.83984375,0.875,0.998046875,1.75390625,-12.984375,2.44921875,1.0
3317363,,,,,,,,1.5234375,-10.11328125,-10.5703125,0.75390625,0.78515625,0.607421875,1.5234375,-10.109375,-0.76953125,1.0
3317364,,,,,,,,2.328125,-6.58984375,-11.87109375,0.978515625,0.556640625,0.65625,2.328125,-6.58984375,-2.0703125,1.0
3317365,,,,,,,,2.51953125,-3.75390625,-10.875,1.017578125,0.22265625,1.318359375,2.51953125,-3.75390625,-1.07421875,1.0
3317366,,,,,,,,2.48046875,-2.03125,-9.6875,0.865234375,0.111328125,1.533203125,2.48046875,-2.03125,0.11328125,1.0
3317367,,,,,,,,2.55859375,-0.61328125,-9.11328125,0.3984375,-0.080078125,1.689453125,2.55859375,-0.61328125,0.6875,1.0
3317368,,,,,,,,2.51953125,1.4921875,-9.421875,0.056640625,-0.18359375,1.498046875,2.515625,1.4921875,0.37890625,1.0
3317369,,,,,,,,3.16796875,3.140625,-9.7265625,-0.041015625,-0.259765625,1.126953125,3.1640625,3.140625,0.07421875,1.0
3317370,36.013015833333334,129.31894916666667,31.476980268205565,68.33245272600264,2.6,264.0,,4.12890625,4.01953125,-10.26171875,0.02734375,-0.396484375,0.7265625,4.12890625,4.01953125,-0.4609375,1.0
3317371,,,,,,,,4.89453125,3.484375,-10.80078125,0.16015625,-0.458984375,0.662109375,4.890625,3.484375,-1.0,1.0
3317372,,,,,,,,5.046875,0.6875,-11.296875,0.154296875,-0.48046875,0.720703125,5.046875,0.6875,-1.49609375,1.0
3317373,,,,,,,,4.08984375,-1.76171875,-11.41015625,-0.216796875,-0.466796875,0.888671875,4.08984375,-1.76171875,-1.61328125,1.0
3317374,,,,,,,,2.25,-4.21484375,-11.2578125,-1.044921875,-0.37109375,1.02734375,2.25,-4.2109375,-1.45703125,1.0
3317375,,,,,,,,0.98828125,-4.75,-10.609375,-2.076171875,-0.1875,0.998046875,0.98828125,-4.75390625,-0.80859375,1.0
3317376,,,,,,,,0.296875,-4.55859375,-9.99609375,-2.49609375,-0.08203125,0.9296875,0.296875,-4.5546875,-0.1953125,1.0
3317377,,,,,,,,-1.6953125,-3.296875,-6.96875,-2.875,0.126953125,0.65234375,-1.6953125,-3.296875,2.83203125,1.0
3317378,,,,,,,,-2.5390625,-2.7578125,-4.74609375,-2.501953125,0.2578125,0.1796875,-2.5390625,-2.7578125,5.0546875,1.0
3317379,,,,,,,,-0.5078125,-0.8828125,-6.39453125,-1.3671875,0.33203125,-0.568359375,-0.5078125,-0.8828125,3.41015625,1.0
3317380,36.01301566666667,129.31894616666665,31.20653372233756,68.31395855408763,2.7,266.0,,5.23828125,3.140625,-5.703125,0.02734375,-0.396484375,0.7265625,5.23828125,3.140625,4.09765625,1.0
3317381,,,,,,,,5.31640625,4.94140625,-6.39453125,0.05078125,0.16796875,-1.900390625,5.3125,4.94140625,3.40625,1.0
3317382,,,,,,,,2.86328125,1.68359375,-8.0390625,-1.166015625,0.01953125,-2.076171875,2.86328125,1.68359375,1.7578125,1.0
3317383,,,,,,,,2.40234375,-0.65234375,-7.7734375,-1.974609375,0.0,-1.818359375,2.3984375,-0.65234375,2.02734375,1.0
3317384,,,,,,,,2.671875,-11.875,-7.96484375,-2.39453125,0.03125,-0.451171875,2.671875,-11.875,1.8359375,1.0
3317385,,,,,,,,-1.3515625,-48.99609375,-6.31640625,-1.6171875,0.240234375,2.00390625,-1.3515625,-48.9921875,3.484375,1.0
3317386,,,,,,,,-20.54296875,-69.03125,4.8671875,-1.56640625,0.375,2.70703125,-20.54296875,-69.03515625,14.66796875,1.0
3317387,,,,,,,,-26.05859375,-59.22265625,6.01953125,-0.865234375,-0.083984375,2.240234375,-26.05859375,-59.22265625,15.81640625,1.0
3317388,,,,,,,,-14.48828125,-29.4609375,-1.4140625,-0.158203125,-0.0546875,1.69921875,-14.48828125,-29.4609375,8.38671875,1.0
3317389,,,,,,,,6.1953125,-18.84765625,-12.5234375,-3.453125,0.736328125,-1.171875,6.1953125,-18.84375,-2.72265625,1.0
3317390,36.01301516666667,129.31894300000002,30.921062500334223,68.25847792306087,2.8000000000000003,261.0,,16.234375,-18.3125,-12.33203125,0.02734375,-0.396484375,0.7265625,5.23828125,3.140625,4.09765625,1.0
3317391,,,,,,,,13.55078125,-15.59375,-6.35546875,-1.498046875,-0.76171875,-2.498046875,13.55078125,-15.59375,3.4453125,1.0
3317392,,,,,,,,2.2890625,-20.37890625,-8.921875,-4.009765625,-0.990234375,-0.390625,2.2890625,-20.375,0.87890625,1.0
3317393,,,,,,,,-1.3515625,-21.64453125,-10.9921875,-5.099609375,-0.8671875,0.431640625,-1.3515625,-21.64453125,-1.19140625,1.0
3317394,,,,,,,,-4.68359375,-19.61328125,-9.6484375,-3.962890625,-0.98828125,0.4296875,-4.68359375,-19.609375,0.1484375,1.0
3317395,,,,,,,,-4.98828125,-16.93359375,-7.46484375,-3.62890625,-1.4375,0.447265625,-4.98828125,-16.93359375,2.33203125,1.0
3317396,,,,,,,,-4.30078125,-14.94140625,-7.08203125,-3.466796875,-1.517578125,0.32421875,-4.30078125,-14.94140625,2.71484375,1.0
3317397,,,,,,,,-4.953125,-11.453125,-8.5,-3.28515625,-1.412109375,-0.18359375,-4.953125,-11.453125,1.30078125,1.0
3317398,,,,,,,,-5.48828125,-7.85546875,-11.796875,-3.337890625,-1.328125,-0.7421875,-5.48828125,-7.8515625,-1.99609375,1.0
3317399,,,,,,,,-5.6796875,-6.16796875,-12.7890625,-3.365234375,-1.19921875,-0.8203125,-5.6796875,-6.1640625,-2.9921875,1.0
3317400,36.013016,129.31894033333336,30.680665190900257,68.35094311577915,2.7,276.0,0.0,-0.421875,2.59765625,1.234375,0.02734375,-0.396484375,0.7265625,-6.0234375,-3.79296875,-1.8046875,1.0
3317401,,,,,,,,0.57421875,4.73046875,2.53515625,-3.251953125,-0.9140625,0.40625,-5.06640625,-1.53515625,-0.65234375,1.0
3317402,,,,,,,,1.671875,7.1015625,3.73046875,-2.9453125,-0.7421875,0.833984375,-4.03125,1.03125,0.41796875,1.0
3317403,,,,,,,,1.90234375,8.40234375,3.96875,-2.619140625,-0.689453125,0.89453125,-3.87890625,2.56640625,0.5703125,1.0
3317404,,,,,,,,2.71484375,10.01953125,3.734375,-2.23046875,-0.712890625,0.83984375,-3.11328125,4.44140625,0.3046875,1.0
3317405,,,,,,,,3.24609375,9.44921875,2.65234375,-1.650390625,-0.697265625,0.69921875,-2.61328125,4.1328125,-0.76953125,1.0
3317406,,,,,,,,2.70703125,7.40625,1.83984375,-1.083984375,-0.607421875,0.615234375,-3.1484375,2.375,-1.53515625,1.0
3317407,,,,,,,,2.1640625,5.8359375,1.73046875,-0.728515625,-0.501953125,0.658203125,-3.69140625,1.0703125,-1.57421875,1.0
3317408,,,,,,,,1.734375,4.984375,2.234375,-0.669921875,-0.44140625,0.734375,-4.11328125,0.34375,-1.0390625,1.0
3317409,,,,,,,,2.515625,3.390625,3.92578125,-0.7734375,-0.359375,0.943359375,-3.30859375,-0.84375,0.76171875,1.0
3317410,36.01301683333334,129.31893816666667,30.485342316986234,68.44340847061416,2.7,285.0,,3.75,2.43359375,4.64453125,-0.720703125,-0.412109375,0.853515625,-2.0390625,-1.53515625,1.56640625,1.0
3317411,,,,,,,,5.80859375,2.1328125,5.36328125,-0.37890625,-0.46484375,0.5234375,0.06640625,-1.609375,2.41015625,1.0
3317412,,,,,,,,6.93359375,2.44921875,5.55859375,-0.013671875,-0.48046875,0.14453125,1.29296875,-1.11328125,2.75390625,1.0
3317413,,,,,,,,7.33984375,2.79296875,5.55859375,0.08203125,-0.478515625,-0.046875,1.75390625,-0.69140625,2.828125,1.0
3317414,,,,,,,,7.08203125,5.10546875,5.6171875,0.01953125,-0.451171875,-0.416015625,1.63671875,1.76171875,3.0625,1.0
3317415,,,,,,,,5.4609375,6.05078125,6.125,-0.46484375,-0.333984375,-0.74609375,0.296875,2.91015625,3.83203125,1.0
3317416,,,,,,,,3.97265625,5.3203125,5.9140625,-0.908203125,-0.29296875,-0.46875,-1.00390625,2.3359375,3.7890625,1.0
3317417,,,,,,,,3.41796875,3.04296875,4.02734375,-1.025390625,-0.345703125,0.02734375,-1.38671875,0.23046875,2.06640625,1.0
3317418,,,,,,,,3.453125,0.515625,3.1328125,-0.904296875,-0.40625,0.4296875,-1.1953125,-2.11328125,1.3359375,1.0
3317419,,,,,,,,3.2421875,-5.69921875,2.25,-0.828125,-0.498046875,0.76171875,-1.2734375,-8.15625,0.609375,1.0
3317420,36.013017500000004,129.31893616666667,30.305044326627815,68.51738067461734,2.2,288.0,,3.72265625,-19.8828125,2.66796875,-0.92578125,-0.59765625,1.01171875,-0.66015625,-22.2578125,1.18359375,1.0
3317421,,,,,,,,2.1796875,-36.75,5.1953125,-1.107421875,-0.671875,1.2578125,-2.078125,-39.19140625,3.8671875,1.0
3317422,,,,,,,,16.734375,-57.70703125,17.03515625,-1.0546875,-0.87109375,1.603515625,12.59375,-60.44921875,15.89453125,1.0
3317423,,,,,,,,8.9296875,-21.62109375,14.2109375,0.314453125,-0.267578125,1.90625,4.96875,-24.86328125,13.3671875,1.0
3317424,,,,,,,,-0.3828125,-13.80078125,-0.3984375,-0.59765625,-0.4765625,0.01953125,-4.1484375,-17.6171875,-0.8828125,1.0
3317425,,,,,,,,-8.34765625,-13.0546875,-1.0859375,-2.603515625,0.4765625,-3.771484375,-11.84765625,-17.55078125,-1.3828125,1.0
3317426,,,,,,,,-6.8828125,-15.28515625,0.8125,-1.58984375,0.2109375,-3.033203125,-10.0859375,-20.49609375,0.609375,1.0
3317427,,,,,,,,-2.96484375,-14.4375,4.1953125,0.9296875,-0.140625,-0.125,-5.91015625,-20.61328125,4.25,1.0
3317428,,,,,,,,-1.1875,-11.67578125,1.90625,1.314453125,-0.060546875,0.453125,-4.109375,-18.421875,2.21875,1.0
3317429,,,,,,,,1.35546875,-9.62109375,2.58203125,0.708984375,0.119140625,-0.421875,-1.50390625,-17.1953125,3.25390625,1.0
3317430,36.013018333333335,129.31893416666665,30.12474627155968,68.60984608942175,2.1,292.0,,3.19140625,-7.98828125,3.2578125,0.693359375,0.478515625,-0.240234375,0.41015625,-16.08984375,4.1328125,1.0
3317431,,,,,,,,4.9609375,-5.0234375,3.171875,0.58984375,0.705078125,-0.052734375,2.25,-13.6015625,4.25,1.0
3317432,,,,,,,,5.46484375,-2.33203125,0.890625,0.4921875,0.74609375,-0.005859375,2.82421875,-11.33984375,2.140625,1.0
3317433,,,,,,,,5.6484375,-0.77734375,-1.15625,0.67578125,0.6484375,0.078125,3.09375,-10.15234375,0.265625,1.0
3317434,,,,,,,,4.7890625,0.68359375,-1.55859375,0.759765625,0.482421875,0.408203125,2.328125,-9.00390625,0.03515625,1.0
3317435,,,,,,,,3.96875,1.65234375,-0.7734375,0.384765625,0.267578125,0.900390625,1.5625,-8.27734375,0.953125,1.0
3317436,,,,,,,,3.73046875,2.140625,-0.58984375,0.1953125,0.1640625,1.095703125,1.33203125,-7.890625,1.18359375,1.0
3317437,,,,,,,,3.9140625,3.64453125,-0.62890625,0.068359375,-0.013671875,1.21875,1.5234375,-6.546875,1.22265625,1.0
3317438,,,,,,,,4.85546875,6.06640625,-1.00390625,0.126953125,-0.13671875,1.109375,2.48046875,-4.25390625,0.91796875,1.0
3317439,,,,,,,,5.66796875,9.15625,-1.40625,0.115234375,-0.26171875,0.935546875,3.3203125,-1.2265625,0.5703125,1.0
3317440,36.01302033333333,129.31893266666665,29.98952221415042,68.83176411043958,2.5,308.0,,6.24609375,11.67578125,-1.7890625,0.693359375,0.478515625,-0.240234375,3.96875,1.30078125,0.2265625,1.0
3317441,,,,,,,,6.8515625,12.171875,-2.640625,0.056640625,-0.416015625,0.552734375,4.7421875,1.9140625,-0.578125,1.0
3317442,,,,,,,,6.671875,11.49609375,-3.4375,0.0,-0.337890625,0.431640625,4.70703125,1.37890625,-1.3828125,1.0
