time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,prediction
4123138,,,,,,,,-0.07421875,1.640625,-0.109375,0.23828125,0.1015625,-0.169921875,-0.71484375,-7.828125,1.71875,
4123139,,,,,,,,-0.234375,1.52734375,-0.1171875,0.228515625,0.109375,-0.166015625,-0.8671875,-7.94140625,1.71875,
4123140,36.01251333,129.319249,58.50698765,12.57557441,0.8,318,,-0.44140625,1.52734375,-0.1015625,0.201171875,0.111328125,-0.166015625,-1.05859375,-7.94140625,1.7578125,
4123141,,,,,,,,-0.76171875,1.6015625,-0.15625,0.162109375,0.0859375,-0.18359375,-1.36328125,-7.87109375,1.71875,
4123142,,,,,,,,-0.96875,1.7109375,-0.28125,0.12890625,0.072265625,-0.19140625,-1.5546875,-7.75,1.6015625,
4123143,,,,,,,,-1.0625,2.015625,-0.48828125,0.109375,0.056640625,-0.203125,-1.6328125,-7.4453125,1.41015625,
4123144,,,,,,,,-1.0859375,2.09375,-0.6484375,0.099609375,0.0390625,-0.2109375,-1.6328125,-7.37109375,1.2578125,
4123145,,,,,,,,-0.83984375,1.40234375,-0.89453125,0.125,-0.00390625,-0.208984375,-1.36328125,-8.05859375,1.02734375,
4123146,,,,,,,,-0.90234375,0.7890625,-0.44921875,0.158203125,-0.044921875,-0.19140625,-1.40234375,-8.67578125,1.48828125,
4123147,,,,,,,,-1.04296875,0.859375,-0.2734375,0.1875,-0.06640625,-0.1640625,-1.51953125,-8.59765625,1.6796875,
4123148,,,,,,,,-1.171875,0.890625,-0.48046875,0.2109375,-0.091796875,-0.13671875,-1.6328125,-8.55859375,1.48828125,
4123149,,,,,,,,-1.06640625,0.96484375,-0.734375,0.193359375,-0.126953125,-0.115234375,-1.51953125,-8.4765625,1.2578125,
4123150,36.01251383,129.3192478,58.40181293,12.63105332,0.9,318,,-1.00390625,0.95703125,-1.1328125,0.201171875,0.111328125,-0.166015625,-1.44140625,-8.48046875,0.875,
4123151,,,,,,,,-0.97265625,0.921875,-1.140625,0.103515625,-0.248046875,-0.076171875,-1.40234375,-8.51953125,0.875,
4123152,,,,,,,,-0.95703125,0.98828125,-1.1640625,0.18359375,-0.322265625,-0.060546875,-1.36328125,-8.4375,0.875,
4123153,,,,,,,,-0.890625,1.02734375,-1.21875,0.236328125,-0.345703125,-0.056640625,-1.2890625,-8.40234375,0.8359375,
4123154,,,,,,,,-0.3984375,0.98828125,-1.27734375,0.2890625,-0.3984375,-0.033203125,-0.7890625,-8.4375,0.80078125,
4123155,,,,,,,,0.12890625,0.97265625,-1.29296875,0.310546875,-0.427734375,-0.005859375,-0.25390625,-8.44140625,0.80078125,
4123156,,,,,,,,0.41796875,0.6953125,-1.3046875,0.2734375,-0.423828125,0.025390625,0.05078125,-8.71484375,0.8359375,
4123157,,,,,,,,0.375,0.34375,-1.25,0.234375,-0.447265625,0.03515625,0.015625,-9.0546875,0.9140625,
4123158,,,,,,,,0.296875,0.26953125,-1.2265625,0.2109375,-0.47265625,0.029296875,-0.0625,-9.125,0.953125,
4123159,,,,,,,,-0.0546875,0.18359375,-1.2421875,0.171875,-0.50390625,0.0078125,-0.40625,-9.20703125,0.953125,
4123160,36.01251433,129.3192472,58.34171293,12.68653254,0.9,320,,-0.22265625,0.21484375,-1.15234375,0.09765625,-0.46484375,-0.033203125,-0.55859375,-9.1640625,1.06640625,
4123161,,,,,,,,-0.31640625,0.2890625,-1.04296875,0.044921875,-0.404296875,-0.0703125,-0.63671875,-9.09765625,1.18359375,
4123162,,,,,,,,-0.0625,-0.015625,-1.265625,0.009765625,-0.357421875,-0.09375,-0.3671875,-9.40234375,0.953125,
4123163,,,,,,,,-0.0703125,-0.20703125,-1.34375,-0.001953125,-0.341796875,-0.103515625,-0.3671875,-9.58984375,0.875,
4123164,,,,,,,,-0.0859375,-0.58984375,-1.3046875,-0.001953125,-0.298828125,-0.12890625,-0.3671875,-9.97265625,0.9140625,
4123165,,,,,,,,-0.1875,-0.8671875,-1.07421875,0.009765625,-0.27734375,-0.150390625,-0.4453125,-10.2421875,1.14453125,
4123166,,,,,,,,-0.1328125,-1.09765625,-0.9296875,0.009765625,-0.25390625,-0.15234375,-0.3671875,-10.46875,1.296875,
4123167,,,,,,,,-0.08203125,-1.01953125,-1.02734375,-0.0546875,-0.22265625,-0.15234375,-0.29296875,-10.39453125,1.18359375,
4123168,,,,,,,,-0.05859375,-1.01171875,-1.18359375,-0.103515625,-0.20703125,-0.150390625,-0.25390625,-10.39453125,1.02734375,
4123169,,,,,,,,-0.14453125,-1.01171875,-1.16796875,-0.20703125,-0.1640625,-0.1484375,-0.33203125,-10.39453125,1.02734375,
4123170,36.012515,129.3192462,58.251563,12.76050477,1,323,,-0.39453125,-1.08203125,-0.9140625,0.09765625,-0.46484375,-0.033203125,-0.55859375,-9.1640625,1.06640625,
4123171,,,,,,,,-0.6328125,-1.77734375,-0.546875,-0.26171875,-0.1171875,-0.13671875,-0.7890625,-11.15625,1.6015625,
4123172,,,,,,,,-0.6484375,-2.56640625,-0.4375,-0.2578125,-0.09765625,-0.138671875,-0.7890625,-11.96484375,1.6796875,
4123173,,,,,,,,-0.359375,-3.41015625,-0.375,-0.283203125,-0.064453125,-0.146484375,-0.484375,-12.80859375,1.71875,
4123174,,,,,,,,0.390625,-4.12890625,0.5,-0.353515625,-0.056640625,-0.158203125,0.28125,-13.53125,2.5625,
4123175,,,,,,,,1.140625,-4.08203125,1.234375,-0.408203125,-0.072265625,-0.166015625,1.046875,-13.4921875,3.25,
4123176,,,,,,,,1.3125,-3.578125,1.65625,-0.51171875,-0.14453125,-0.150390625,1.31640625,-12.34765625,3.86328125,
4123177,,,,,,,,1.44921875,-1.41796875,2.23828125,-0.615234375,-0.17578125,-0.12890625,1.39453125,-10.85546875,4.16796875,
4123178,,,,,,,,1.28125,-0.05859375,1.98828125,-0.646484375,-0.17578125,-0.111328125,1.125,-9.09375,3.7109375,
4123179,,,,,,,,0.87890625,0.98828125,1.97265625,-0.515625,-0.140625,-0.095703125,0.62890625,-8.44140625,3.78515625,
4123180,36.01251567,129.3192453,58.17643798,12.83447709,1.1,324,,-0.39453125,-1.08203125,-0.9140625,-0.359375,-0.0625,-0.1015625,0.24609375,-8.94140625,3.86328125,
4123181,,,,,,,,-0.1328125,-0.375,2.296875,-0.197265625,0.005859375,-0.091796875,-0.33203125,-10.31640625,4.1328125,
4123182,,,,,,,,-0.4921875,-1.28515625,2.46484375,0.001953125,0.091796875,-0.115234375,-0.5234375,-11.23828125,4.1328125,
4123183,,,,,,,,-0.5390625,-2.3671875,2.3125,0.03515625,0.1328125,-0.09765625,-0.484375,-12,3.94140625,
4123184,,,,,,,,-0.31640625,-2.59765625,2.08203125,-0.103515625,0.125,-0.05859375,-0.1015625,-12.1171875,3.75,
4123185,,,,,,,,0.21484375,-2.50390625,2.08984375,-0.296875,0.0390625,-0.005859375,0.359375,-11.81640625,3.78515625,
4123186,,,,,,,,0.3359375,-2.3125,2.09765625,-0.357421875,-0.015625,0.021484375,0.55078125,-11.390625,3.7109375,
4123187,,,,,,,,0.6796875,-1.62109375,1.9453125,-0.345703125,-0.12109375,0.0625,0.78125,-10.85546875,3.51953125,
4123188,,,,,,,,0.98828125,-0.80859375,1.51953125,-0.30859375,-0.25390625,0.091796875,1.01171875,-10.31640625,3.13671875,
4123189,,,,,,,,1.03125,-0.44921875,1.38671875,-0.232421875,-0.328125,0.12109375,1.046875,-9.97265625,2.98046875,
4123190,36.0125165,129.3192447,58.11633774,12.92694272,1,327,,0.8203125,-0.48046875,1.41796875,-0.359375,-0.0625,-0.1015625,0.8203125,-10.01171875,2.98046875,
4123191,,,,,,,,0.40625,-0.44140625,1.12109375,-0.06640625,-0.302734375,0.189453125,0.3984375,-9.97265625,2.67578125,
4123192,,,,,,,,0.3046875,-0.08984375,0.70703125,-0.029296875,-0.306640625,0.2109375,0.28125,-9.625,2.25390625,
4123193,,,,,,,,0.4765625,0.4453125,0.32421875,-0.021484375,-0.283203125,0.224609375,0.4375,-9.09375,1.87109375,
4123194,,,,,,,,0.4921875,0.79296875,0.046875,-0.04296875,-0.251953125,0.236328125,0.4375,-8.74609375,1.6015625,
4123195,,,,,,,,0.3984375,1.25,0.01953125,-0.0625,-0.23046875,0.224609375,0.3203125,-8.29296875,1.56640625,
4123196,,,,,,,,0.24609375,1.56640625,-0.01953125,-0.0546875,-0.232421875,0.2265625,0.16796875,-7.98046875,1.52734375,
4123197,,,,,,,,0.109375,1.796875,-0.08984375,-0.013671875,-0.271484375,0.2109375,0.015625,-7.75390625,1.44921875,
