time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
4082988,,,,,,,,0.50390625,-0.91015625,1.5625,-0.005859375,0.099609375,-0.001953125,-0.33203125,-10.390625,2.40625
4082989,,,,,,,,0.390625,-0.87109375,1.5234375,0.103515625,0.19140625,-0.029296875,-0.55859375,-10.43359375,2.484375
4082990,36.01264666666667,129.319196,53.728976753530425,27.370108406804274,1.2000000000000002,188.0,,0.11328125,-0.9453125,1.59375,0.197265625,0.24609375,-0.05859375,-0.75,-10.46875,2.5234375
4082991,,,,,,,,-0.19140625,-0.74609375,1.5390625,0.248046875,0.25,-0.08984375,-1.01953125,-10.1640625,2.40625
4082992,,,,,,,,-0.38671875,-0.36328125,1.35546875,0.25390625,0.236328125,-0.146484375,-1.2109375,-9.32421875,2.140625
4082993,,,,,,,,-0.46875,0.25,1.15625,0.23828125,0.22265625,-0.17578125,-1.2109375,-9.015625,2.0234375
4082994,,,,,,,,-0.453125,1.20703125,0.77734375,0.1953125,0.20703125,-0.236328125,-1.05859375,-8.09765625,1.6796875
4082995,,,,,,,,-0.27734375,1.703125,0.609375,0.169921875,0.1953125,-0.265625,-0.75,-7.48828125,1.41015625
4082996,,,,,,,,0.03515625,2.25,0.28125,0.197265625,0.18359375,-0.26171875,-0.59765625,-7.2109375,1.21875
4082997,,,,,,,,0.1171875,2.515625,-0.01171875,0.310546875,0.216796875,-0.236328125,-0.484375,-6.8671875,1.06640625
4082998,,,,,,,,0.1484375,2.70703125,-0.02734375,0.34375,0.22265625,-0.2265625,-0.5234375,-6.68359375,0.8359375
4082999,,,,,,,,-0.02734375,3.0078125,-0.37109375,0.369140625,0.21484375,-0.21484375,-0.75,-6.60546875,0.76171875
4083000,36.0126455,129.3191955,53.68390290011778,27.240655689698915,1.2000000000000002,189.0,0.0,-0.2890625,2.96875,-0.49609375,0.341796875,0.1796875,-0.208984375,-1.09765625,-6.68359375,0.72265625
4083001,,,,,,,,-0.6875,2.73828125,-0.48828125,0.31640625,0.177734375,-0.212890625,-1.40234375,-6.984375,0.76171875
4083002,,,,,,,,-0.94140625,2.42578125,-0.40625,0.294921875,0.154296875,-0.2265625,-1.59375,-7.25390625,0.9140625
4083003,,,,,,,,-1.109375,2.234375,-0.328125,0.26953125,0.107421875,-0.2421875,-1.74609375,-7.63671875,0.875
4083004,,,,,,,,-1.28515625,1.84765625,-0.390625,0.220703125,0.064453125,-0.25,-1.86328125,-7.79296875,0.953125
4083005,,,,,,,,-1.38671875,1.61328125,-0.3359375,0.173828125,0.013671875,-0.23828125,-1.86328125,-8.01953125,0.9921875
4083006,,,,,,,,-1.41796875,1.53515625,-0.3515625,0.140625,-0.00390625,-0.236328125,-1.78515625,-8.05859375,0.9921875
4083007,,,,,,,,-1.1640625,1.2578125,-0.55859375,0.103515625,-0.044921875,-0.205078125,-1.59375,-8.2890625,0.80078125
4083008,,,,,,,,-0.921875,1.15234375,-0.33984375,0.099609375,-0.07421875,-0.171875,-1.328125,-8.40234375,1.02734375
4083009,,,,,,,,-0.66796875,1.03125,-0.3984375,0.125,-0.1015625,-0.103515625,-1.05859375,-8.51953125,0.9921875
