times,latitude,longitude,speed,course,sat_num,hdop,enu_x,enu_y
25651000,36.013031166666664,129.318756,0.0,-1,-1,-1,14.063220919252124,70.03378263462105
25651010,36.013030666666666,129.318756,0.0,-1,-1,-1,14.063221007855645,69.9783030143782
25651020,36.013030666666666,129.318756,0.0,-1,-1,-1,14.063221007855645,69.9783030143782
25651030,36.01303016666667,129.318756,0.0,-1,-1,-1,14.063221096754226,69.92282339284048
25651040,36.01302966666666,129.31875583333334,0.0,-1,-1,-1,14.048196376896776,69.86734374715041
25651050,36.01302916666667,129.31875566666668,0.0,-1,-1,-1,14.033171657073623,69.8118641028367
25651060,36.01302933333333,129.3187553333333,0.0,-1,-1,-1,14.003122005287793,69.83035726153362
25651070,36.01302933333333,129.31875516666665,0.0,-1,-1,-1,13.988097196761636,69.83035723760172
25651080,36.0130295,129.31875499999998,0.0,-1,-1,-1,13.973072359104684,69.84885042036375
25651090,36.013029833333334,129.31875483333334,0.0,-1,-1,-1,13.958047493792236,69.88583681087877
25651100,36.01302966666666,129.31875466666668,0.0,-1,-1,-1,13.943022714232207,69.86734357964718
25651110,36.013028999999996,129.31875416666665,0.0,-1,-1,-1,13.897948400589748,69.79337067967737
25651120,36.01302866666666,129.31875399999998,0.0,-1,-1,-1,13.882923650685427,69.7563842421841
25651130,36.01302883333334,129.31875399999998,0.0,-1,-1,-1,13.88292362119438,69.77487744980486
25651140,36.01302916666667,129.31875383333332,0.0,-1,-1,-1,13.867898753915995,69.81186384020491
25651150,36.0130295,129.31875383333332,0.0,-1,-1,-1,13.867898695654418,69.84885025359277
25651160,36.013029833333334,129.31875366666665,0.0,-1,-1,-1,13.852873828966153,69.88583664441644
25651170,36.01303016666667,129.31875366666665,0.0,-1,-1,-1,13.852873770704562,69.922823058181
25651180,36.0130305,129.31875366666665,0.0,-1,-1,-1,13.852873712247394,69.95980947272476
25651190,36.01303083333333,129.3187535,0.0,-1,-1,-1,13.83784884752506,69.99679586253342
25651200,36.013031166666664,129.31875333333335,0.0,-1,-1,-1,13.822823980967186,70.03378225296316
25651210,36.01303166666666,129.318753,0.0,-1,-1,-1,13.792774272429341,70.08926182673005
25651220,36.01303216666667,129.318753,0.1,-1,-1,-1,13.792774185301106,70.14474144840862
25651230,36.0130325,129.318753,0.1,-1,-1,-1,13.79277412749925,70.18172786261407
25651240,36.01303266666666,129.3187525,0.1,-1,-1,-1,13.747699674134893,70.20022099858859
25651250,36.01303266666666,129.31875216666668,0.0,-1,-1,-1,13.717650060588994,70.20022095151353
25651260,36.01303266666666,129.31875166666666,0.0,-1,-1,-1,13.672575631408016,70.20022088145261
25651270,36.013032833333334,129.31875183333335,0.1,-1,-1,-1,13.687600415095481,70.2187141117583
25651280,36.013033166666666,129.31875183333335,0.1,-1,-1,-1,13.687600357523486,70.25570052580751
25651290,36.013033,129.31875166666666,0.0,-1,-1,-1,13.672575574196266,70.23720729608168
25651300,36.013033,129.3187515,0.0,-1,-1,-1,13.657550765899977,70.23720727274687
25651310,36.013033166666666,129.318751,0.0,-1,-1,-1,13.612476313420792,70.25570040898018
25651320,36.01303233333333,129.31875133333332,0.5,-1,-1,-1,13.642526073042731,70.16323442039547
25651330,36.013031999999995,129.31875133333332,0.5,-1,-1,-1,13.642526130549534,70.12624800673157
25651340,36.013031166666664,129.31875166666666,0.7000000000000001,-1,-1,-1,13.672575890696386,70.03378201782579
25651350,36.013031,129.31875200000002,0.5,-1,-1,-1,13.702625540711871,70.01528885785797
