time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
2428037,,,,,,,,-1.8671875,-4.1796875,0.06640625,0.326171875,-0.078125,-0.58203125,-1.0078125,-8.0234375,1.35546875
2428038,,,,,,,,-1.7734375,-4.33984375,0.01171875,0.294921875,-0.091796875,-0.65625,-0.890625,-8.2109375,1.27734375
2428039,,,,,,,,-1.36328125,-4.35546875,-0.01171875,0.279296875,-0.115234375,-0.34765625,-0.47265625,-8.25,1.23828125
2428040,36.012940666666665,129.31916133333334,50.60361345761458,59.99210577649648,1.4000000000000001,138.0,,-1.0546875,-4.09375,0.1875,0.21875,-0.109375,0.126953125,-2.6171875,-10.58984375,1.73828125
2428041,,,,,,,,-1.22265625,-3.79296875,0.85546875,0.19140625,-0.11328125,0.541015625,-0.35546875,-7.75390625,2.08203125
2428042,,,,,,,,-1.71875,-3.921875,1.67578125,0.197265625,-0.134765625,0.798828125,-0.890625,-7.91015625,2.88671875
2428043,,,,,,,,-2.40234375,-5.41796875,2.1796875,0.185546875,-0.146484375,0.923828125,-1.62109375,-9.4375,3.3828125
2428044,,,,,,,,-2.046875,-7.0703125,2.47265625,0.150390625,-0.142578125,0.9609375,-1.3125,-11.12890625,3.65234375
2428045,,,,,,,,-0.171875,-10.203125,4.2421875,0.048828125,-0.103515625,0.912109375,0.5234375,-14.30859375,5.4140625
2428046,,,,,,,,0.85546875,-11.53515625,4.52734375,0.013671875,-0.1015625,0.888671875,1.51953125,-15.640625,5.68359375
2428047,,,,,,,,4.4296875,-15.3671875,3.8515625,0.01171875,-0.123046875,0.98046875,5.046875,-19.51953125,4.9921875
2428048,,,,,,,,7.125,-13.2578125,7.046875,0.15625,-0.1328125,1.1484375,7.6875,-17.4453125,8.171875
2428049,,,,,,,,4.99609375,-9.46484375,5.984375,0.330078125,-0.13671875,1.158203125,5.50390625,-13.69140625,7.1015625
2428050,36.01293916666667,129.31916199999998,50.66371371961547,59.825667262953864,1.5,148.0,,1.57421875,-7.55859375,4.91015625,0.21875,-0.109375,0.126953125,2.01953125,-11.81640625,6.02734375
2428051,,,,,,,,-1.08984375,-6.7890625,4.8203125,-0.267578125,-0.09765625,1.17578125,-0.69921875,-11.08984375,5.9140625
2428052,,,,,,,,-2.33984375,-6.99609375,4.71875,-0.91796875,-0.1953125,-0.283203125,-2.00390625,-11.3515625,5.7578125
2428053,,,,,,,,-1.59765625,-6.95703125,3.78515625,-0.890625,-0.20703125,-0.8125,-1.23828125,-11.35546875,4.76171875
2428054,,,,,,,,-1.3125,-7.15625,2.21875,-0.484375,-0.107421875,-0.68359375,-0.9296875,-11.5859375,3.15625
2428055,,,,,,,,-1.3984375,-7.0,1.98046875,-0.134765625,-0.017578125,-0.271484375,-1.0078125,-11.46875,2.88671875
2428056,,,,,,,,-1.2890625,-6.6796875,2.01953125,-0.083984375,0.044921875,-0.091796875,-0.890625,-11.1640625,2.92578125
2428057,,,,,,,,-1.15234375,-6.37890625,2.00390625,-0.203125,0.203125,0.1171875,-0.77734375,-10.89453125,2.88671875
2428058,,,,,,,,-0.79296875,-5.99609375,1.7578125,-0.337890625,0.37890625,0.26171875,-0.43359375,-10.546875,2.6171875
2428059,,,,,,,,-0.578125,-5.57421875,1.62890625,-0.30078125,0.501953125,0.318359375,-0.2421875,-10.1640625,2.46484375
2428060,36.012938166666665,129.31916283333334,50.7388384917708,59.71470845490079,1.4000000000000001,151.0,,-0.4296875,-4.625,1.22265625,-0.158203125,0.5859375,0.28515625,-0.125,-9.25390625,2.04296875
2428061,,,,,,,,-0.484375,-3.85546875,1.0546875,-0.037109375,0.623046875,0.25390625,-0.203125,-8.515625,1.8515625
2428062,,,,,,,,-0.4609375,-3.25,0.82421875,-0.005859375,0.609375,0.20703125,-0.203125,-7.94921875,1.62109375
2428063,,,,,,,,-0.62109375,-2.765625,0.60546875,-0.076171875,0.58203125,0.125,-0.39453125,-7.484375,1.39453125
2428064,,,,,,,,-0.65234375,-2.26953125,0.390625,-0.171875,0.52734375,0.037109375,-0.43359375,-7.0234375,1.1640625
2428065,,,,,,,,-0.59765625,-1.28125,0.2578125,-0.27734375,0.451171875,-0.0546875,-0.39453125,-6.0703125,1.0078125
2428066,,,,,,,,-0.62890625,-0.91796875,0.19140625,-0.33203125,0.40625,-0.099609375,-0.43359375,-5.72265625,0.93359375
