time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
2434538,,,,,,,,0.859375,-0.66796875,-1.0,0.068359375,-0.017578125,0.111328125,0.2578125,-9.609375,1.5859375
2434539,,,,,,,,0.875,-0.62890625,-1.0078125,0.05859375,-0.01171875,0.111328125,0.2578125,-9.57421875,1.5859375
2434540,36.01295266666667,129.31880283333334,18.28521028577213,61.323489949055606,0.0,65535.0,,0.875,-0.62109375,-1.0859375,0.05078125,-0.013671875,0.107421875,0.2578125,-9.57421875,1.5078125
2434541,,,,,,,,0.84375,-0.62890625,-1.09375,0.052734375,-0.013671875,0.103515625,0.21875,-9.57421875,1.5078125
2434542,,,,,,,,0.921875,-0.62890625,-1.171875,0.056640625,-0.017578125,0.087890625,0.296875,-9.57421875,1.4296875
2434543,,,,,,,,0.96875,-0.66015625,-1.20703125,0.052734375,-0.017578125,0.078125,0.3359375,-9.609375,1.39453125
2434544,,,,,,,,0.96875,-0.70703125,-1.1875,0.046875,-0.02734375,0.080078125,0.3359375,-9.65234375,1.4296875
2434545,,,,,,,,0.890625,-0.58203125,-1.0625,0.0390625,-0.033203125,0.0859375,0.2578125,-9.53515625,1.546875
2434546,,,,,,,,0.859375,-0.58203125,-1.1015625,0.033203125,-0.03125,0.083984375,0.21875,-9.53125,1.5078125
2434547,,,,,,,,0.66796875,-0.5078125,-1.1796875,0.01953125,-0.0390625,0.0859375,0.02734375,-9.4609375,1.4296875
2434548,,,,,,,,0.62890625,-0.54296875,-1.22265625,0.021484375,-0.03515625,0.08203125,-0.01171875,-9.49609375,1.39453125
2434549,,,,,,,,0.62890625,-0.58203125,-1.21484375,0.03125,-0.041015625,0.0703125,-0.01171875,-9.53515625,1.39453125
2434550,36.0129525,129.31880283333334,18.285210324217765,61.304996741748184,0.0,65535.0,,0.66796875,-0.57421875,-1.140625,0.05078125,-0.013671875,0.107421875,0.2578125,-9.57421875,1.5078125
2434551,,,,,,,,0.67578125,-0.58203125,-1.0234375,0.080078125,-0.015625,0.072265625,0.02734375,-9.53125,1.5859375
2434552,,,,,,,,0.72265625,-0.5,-1.0390625,0.119140625,-0.01171875,0.11328125,0.06640625,-9.4609375,1.5859375
2434553,,,,,,,,0.72265625,-0.5078125,-1.046875,0.13671875,-0.005859375,0.123046875,0.06640625,-9.4609375,1.5859375
2434554,,,,,,,,0.84375,-0.46875,-1.24609375,0.150390625,-0.009765625,0.111328125,0.1796875,-9.42578125,1.39453125
2434555,,,,,,,,0.81640625,-0.46875,-1.37890625,0.16015625,-0.01171875,0.103515625,0.14453125,-9.421875,1.27734375
2434556,,,,,,,,0.8515625,-0.4296875,-1.38671875,0.1796875,-0.01171875,0.087890625,0.1796875,-9.3828125,1.27734375
2434557,,,,,,,,0.8984375,-0.4375,-1.44140625,0.1953125,-0.01171875,0.08984375,0.21875,-9.38671875,1.23828125
2434558,,,,,,,,0.9375,-0.515625,-1.41015625,0.20703125,-0.013671875,0.095703125,0.2578125,-9.46484375,1.27734375
2434559,,,,,,,,1.0234375,-0.515625,-1.41796875,0.20703125,-0.013671875,0.11328125,0.3359375,-9.46484375,1.27734375
2434560,36.0129525,129.31880283333334,18.285210324217765,61.304996741748184,0.0,65535.0,,0.9921875,-0.55078125,-1.44140625,0.203125,-0.013671875,0.125,0.296875,-9.49609375,1.27734375
2434561,,,,,,,,0.9609375,-0.67578125,-1.37890625,0.21875,-0.005859375,0.125,0.2578125,-9.61328125,1.35546875
2434562,,,,,,,,1.15234375,-0.68359375,-1.43359375,0.2265625,0.001953125,0.1328125,0.44921875,-9.609375,1.31640625
2434563,,,,,,,,1.3203125,-0.72265625,-1.48828125,0.22265625,0.0,0.126953125,0.6015625,-9.6484375,1.27734375
2434564,,,,,,,,1.20703125,-0.8046875,-1.42578125,0.224609375,0.01171875,0.123046875,0.48828125,-9.7265625,1.35546875
2434565,,,,,,,,0.90625,-0.69140625,-1.44140625,0.2265625,0.0078125,0.107421875,0.1796875,-9.609375,1.35546875
2434566,,,,,,,,0.72265625,-0.5078125,-1.49609375,0.2109375,0.00390625,0.0859375,-0.01171875,-9.421875,1.31640625
2434567,,,,,,,,0.80078125,-0.390625,-1.58984375,0.173828125,0.01171875,0.05859375,0.06640625,-9.30859375,1.23828125
2434568,,,,,,,,0.83984375,-0.4296875,-1.671875,0.166015625,0.025390625,0.064453125,0.10546875,-9.34375,1.1640625
2434569,,,,,,,,0.9609375,-0.515625,-1.61328125,0.22265625,0.033203125,0.09375,0.21875,-9.421875,1.23828125
2434570,36.0129525,129.31880283333334,18.285210324217765,61.304996741748184,0.0,65535.0,,1.0390625,-0.5625,-1.6640625,0.267578125,0.029296875,0.111328125,0.296875,-9.4609375,1.203125
2434571,,,,,,,,1.12890625,-0.68359375,-1.61328125,0.28125,0.03515625,0.1484375,0.37109375,-9.57421875,1.27734375
2434572,,,,,,,,1.14453125,-0.65234375,-1.68359375,0.275390625,0.05078125,0.1796875,0.37109375,-9.53125,1.23828125
2434573,,,,,,,,1.15234375,-0.65234375,-1.65234375,0.267578125,0.046875,0.185546875,0.37109375,-9.53125,1.27734375
2434574,,,,,,,,1.1328125,-0.66015625,-1.70703125,0.259765625,0.044921875,0.177734375,0.3359375,-9.53125,1.23828125
2434575,,,,,,,,1.109375,-0.66015625,-1.8046875,0.25,0.044921875,0.16015625,0.296875,-9.53515625,1.1640625
2434576,,,,,,,,1.0703125,-0.70703125,-1.8125,0.23046875,0.041015625,0.126953125,0.2578125,-9.57421875,1.1640625
2434577,,,,,,,,1.0390625,-0.71484375,-1.875,0.2109375,0.029296875,0.123046875,0.21875,-9.57421875,1.125
2434578,,,,,,,,1.046875,-0.71484375,-1.8828125,0.205078125,0.025390625,0.1171875,0.21875,-9.57421875,1.125
2434579,,,,,,,,1.0546875,-0.64453125,-1.859375,0.1953125,0.025390625,0.119140625,0.21875,-9.4921875,1.1640625
2434580,36.0129525,129.31880283333334,18.285210324217765,61.304996741748184,0.0,65535.0,,1.1015625,-0.609375,-2.01953125,0.267578125,0.029296875,0.111328125,0.2578125,-9.4609375,1.01171875
2434581,,,,,,,,1.15625,-0.5703125,-2.11328125,0.197265625,0.0078125,0.158203125,0.296875,-9.42578125,0.93359375
2434582,,,,,,,,1.15625,-0.578125,-2.234375,0.208984375,-0.001953125,0.16015625,0.296875,-9.421875,0.8203125
2434583,,,,,,,,1.171875,-0.69921875,-2.4140625,0.22265625,0.0,0.15625,0.296875,-9.53515625,0.6640625
2434584,,,,,,,,1.140625,-0.82421875,-2.3828125,0.22265625,0.0,0.162109375,0.2578125,-9.6484375,0.703125
2434585,,,,,,,,1.1484375,-0.9375,-2.4375,0.21484375,-0.005859375,0.19140625,0.2578125,-9.765625,0.6640625
2434586,,,,,,,,1.2421875,-1.09765625,-2.453125,0.2109375,-0.005859375,0.216796875,0.3359375,-9.9140625,0.6640625
2434587,,,,,,,,1.41015625,-1.17578125,-2.49609375,0.203125,-0.0078125,0.2421875,0.48828125,-9.99609375,0.62890625
2434588,,,,,,,,1.51171875,-1.23046875,-2.51953125,0.20703125,-0.03515625,0.265625,0.56640625,-10.03125,0.62890625
2434589,,,,,,,,1.640625,-1.19140625,-2.57421875,0.236328125,-0.041015625,0.25390625,0.6796875,-9.9921875,0.58984375
2434590,36.0129525,129.318803,18.300235147363054,61.30499677315008,0.0,65535.0,,1.6640625,-1.16015625,-2.66015625,0.267578125,0.029296875,0.111328125,0.2578125,-9.4609375,1.01171875
2434591,,,,,,,,1.7109375,-1.0546875,-2.7890625,0.248046875,-0.0625,0.189453125,0.71875,-9.84765625,0.3984375
2434592,,,,,,,,1.6484375,-1.08984375,-2.8515625,0.21484375,-0.05859375,0.142578125,0.640625,-9.87890625,0.359375
2434593,,,,,,,,1.56640625,-1.10546875,-2.8203125,0.13671875,-0.0546875,0.099609375,0.56640625,-9.87890625,0.3984375
2434594,,,,,,,,1.45703125,-1.17578125,-2.80078125,0.10546875,-0.05078125,0.09375,0.44921875,-9.95703125,0.43359375
2434595,,,,,,,,1.37890625,-1.13671875,-2.828125,0.078125,-0.05078125,0.08984375,0.37109375,-9.9140625,0.3984375
2434596,,,,,,,,1.3515625,-1.17578125,-2.8671875,0.0703125,-0.052734375,0.087890625,0.3359375,-9.953125,0.359375
2434597,,,,,,,,1.53515625,-1.09765625,-3.05859375,0.060546875,-0.052734375,0.080078125,0.52734375,-9.87890625,0.16796875
2434598,,,,,,,,1.65625,-1.0625,-3.08984375,0.07421875,-0.0625,0.068359375,0.640625,-9.84765625,0.12890625
2434599,,,,,,,,1.6171875,-1.0234375,-3.01171875,0.1015625,-0.068359375,0.05078125,0.6015625,-9.80859375,0.20703125
2434600,36.0129525,129.318803,18.300235147363054,61.30499677315008,0.0,65535.0,0.0,1.48828125,-0.9140625,-3.01953125,0.267578125,0.029296875,0.111328125,0.48828125,-9.6875,0.20703125
2434601,,,,,,,,1.37109375,-0.87109375,-2.72265625,0.091796875,-0.080078125,0.015625,0.37109375,-9.65234375,0.51171875
2434602,,,,,,,,1.40234375,-0.8984375,-2.64453125,0.0703125,-0.080078125,0.0,0.41015625,-9.6875,0.58984375
