time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
2412637,,,,,,,,2.3984375,3.34765625,7.234375,-0.154296875,-1.126953125,-0.982421875,0.1796875,-1.421875,-0.4453125
2412638,,,,,,,,3.03515625,2.484375,6.98828125,-0.078125,-1.140625,-1.26953125,0.79296875,-2.3046875,-0.67578125
2412639,,,,,,,,5.08984375,-3.23828125,8.671875,0.095703125,-1.123046875,-1.666015625,2.82421875,-8.125,1.125
2412640,36.012785666666666,129.31897916666668,34.181545727101664,42.79334446309798,1.9000000000000001,303.0,,5.9765625,-8.72265625,11.01953125,0.248046875,-1.0703125,-1.560546875,3.703125,-13.6796875,3.53515625
2412641,,,,,,,,4.484375,-11.45703125,13.71484375,0.38671875,-1.033203125,-1.48828125,2.2109375,-16.4765625,6.29296875
2412642,,,,,,,,4.40625,-11.140625,17.890625,0.4140625,-0.9296875,-1.60546875,2.1328125,-16.25,10.546875
2412643,,,,,,,,4.9375,-10.79296875,18.5859375,0.26953125,-0.865234375,-1.751953125,2.671875,-15.94140625,11.2734375
2412644,,,,,,,,5.3125,-9.50390625,17.91796875,-0.130859375,-0.68359375,-1.994140625,3.09375,-14.71484375,10.66015625
2412645,,,,,,,,5.5546875,-7.12109375,15.12890625,-0.314453125,-0.490234375,-2.06640625,4.01171875,-11.42578125,6.29296875
2412646,,,,,,,,10.0859375,-7.86328125,11.99609375,-0.353515625,-0.228515625,-2.33984375,8.0703125,-13.18359375,4.80078125
2412647,,,,,,,,10.3828125,-11.80859375,15.06640625,-0.06640625,-0.01953125,-2.29296875,8.4921875,-17.1640625,7.90234375
2412648,,,,,,,,9.42578125,-13.109375,15.58203125,0.201171875,0.09765625,-2.111328125,7.61328125,-18.5078125,8.44140625
2412649,,,,,,,,6.28125,-15.66796875,15.80078125,0.69921875,0.435546875,-1.087890625,4.625,-21.19140625,8.74609375
2412650,36.01278716666666,129.318977,33.98622196216948,42.95978256114222,2.1,309.0,,4.04296875,-14.78515625,15.82421875,0.322265625,0.576171875,-0.4375,2.48046875,-20.3828125,8.82421875
2412651,,,,,,,,3.3984375,-13.328125,15.046875,0.126953125,0.755859375,-0.181640625,1.90625,-18.97265625,8.09375
2412652,,,,,,,,3.2578125,-12.4453125,14.85546875,0.310546875,0.943359375,0.13671875,1.90625,-16.32421875,7.90234375
2412653,,,,,,,,3.296875,-10.62109375,14.80078125,0.349609375,0.984375,0.197265625,2.05859375,-15.5546875,7.8671875
2412654,,,,,,,,3.76953125,-9.08984375,14.6015625,0.400390625,1.080078125,0.208984375,2.78515625,-13.98828125,7.40625
2412655,,,,,,,,4.3125,-7.2421875,13.89453125,0.46484375,1.1796875,0.25390625,3.3984375,-10.6953125,6.41015625
2412656,,,,,,,,4.6640625,-3.6640625,12.81640625,0.546875,1.25390625,0.271484375,3.58984375,-8.28515625,5.91015625
2412657,,,,,,,,4.546875,-1.00390625,12.5625,0.59375,1.3359375,0.263671875,3.24609375,-4.18359375,5.71875
2412658,,,,,,,,4.34765625,3.08984375,11.6484375,0.544921875,1.3671875,0.23828125,3.28515625,-2.83984375,4.99609375
2412659,,,,,,,,4.21875,8.9296875,6.66796875,0.1796875,1.3828125,0.20703125,3.3203125,2.90625,0.12890625
2412660,36.01278933333333,129.31897433333333,33.745823359494935,43.20019331643923,3.1,312.0,,2.21875,14.3515625,6.98046875,0.1328125,1.37109375,0.171875,1.40625,8.3046875,0.47265625
2412661,,,,,,,,2.0859375,12.046875,6.671875,0.248046875,1.3125,-0.04296875,1.3671875,5.96875,0.203125
2412662,,,,,,,,1.93359375,10.53125,6.83203125,0.16015625,1.240234375,-0.205078125,1.25390625,4.4375,0.39453125
2412663,,,,,,,,-0.33984375,5.96484375,6.89453125,0.154296875,1.197265625,-0.40234375,-0.8515625,-0.16015625,0.51171875
2412664,,,,,,,,-3.19140625,1.0546875,9.8203125,0.236328125,1.314453125,-0.3203125,-3.61328125,-5.10546875,3.5
2412665,,,,,,,,-2.09765625,-0.37890625,12.09375,0.0546875,1.30859375,0.568359375,-2.38671875,-6.55859375,5.8359375
2412666,,,,,,,,0.0703125,1.4375,12.03125,-0.0234375,1.23046875,0.9296875,-0.203125,-4.7578125,5.796875
2412667,,,,,,,,1.55859375,5.0,9.203125,-0.240234375,1.126953125,1.40234375,1.29296875,-1.1953125,3.0
2412668,,,,,,,,3.58203125,4.6875,7.82421875,-0.275390625,0.841796875,1.216796875,3.28125,-1.5,1.66015625
2412669,,,,,,,,5.2421875,1.8046875,7.35546875,-0.490234375,0.6484375,0.90625,4.93359375,-4.375,1.19921875
2412670,36.012791166666666,129.31897183333334,33.52044976531461,43.403617723420325,3.2,313.0,,7.04296875,-2.8125,7.6171875,-0.6171875,0.341796875,0.171875,6.73046875,-8.96875,1.46875
2412671,,,,,,,,1.79296875,-14.20703125,16.734375,0.0,0.1640625,-0.32421875,1.51953125,-20.34765625,10.625
2412672,,,,,,,,-1.4375,-16.421875,21.0859375,0.080078125,0.15234375,-0.37890625,-1.6953125,-22.5703125,14.9921875
2412673,,,,,,,,-3.73046875,-14.49609375,19.97265625,-0.53515625,0.11328125,-0.431640625,-3.95703125,-20.65234375,13.91796875
2412674,,,,,,,,-2.0234375,-12.03125,17.453125,-1.25,0.041015625,-0.400390625,-2.234375,-18.16796875,11.390625
2412675,,,,,,,,1.9375,-7.57421875,11.546875,-2.611328125,-0.26171875,-0.212890625,1.75,-13.60546875,5.4140625
2412676,,,,,,,,2.828125,-8.703125,11.38671875,-2.400390625,-0.599609375,-0.537109375,2.6328125,-14.60546875,5.14453125
2412677,,,,,,,,1.33203125,-11.41015625,12.19140625,-2.013671875,-0.748046875,-0.9140625,1.13671875,-17.2421875,5.91015625
2412678,,,,,,,,-1.27734375,-14.51953125,12.4375,-1.447265625,-1.072265625,-1.32421875,-1.46484375,-20.265625,6.1015625
2412679,,,,,,,,-1.73046875,-14.62890625,12.36328125,-1.79296875,-1.224609375,-0.92578125,-1.92578125,-20.30859375,5.98828125
2412680,36.012793,129.31896933333334,33.29507618156079,43.607042135039244,2.8000000000000003,313.0,,-3.6875,-11.6328125,10.15234375,-2.697265625,-1.5625,0.384765625,-4.03125,-17.05859375,3.61328125
2412681,,,,,,,,-4.21484375,-8.8671875,10.32421875,-2.65234375,-1.771484375,0.470703125,-4.68359375,-14.14453125,3.69140625
2412682,,,,,,,,-3.45703125,-6.76171875,10.75390625,-2.5625,-1.865234375,0.47265625,-3.99609375,-11.95703125,4.07421875
2412683,,,,,,,,-2.265625,-5.37109375,11.51171875,-2.478515625,-2.056640625,0.6171875,-2.9609375,-10.421875,4.76171875
2412684,,,,,,,,-1.55859375,-4.28515625,11.57421875,-2.396484375,-2.140625,0.9921875,-2.42578125,-9.1953125,4.76171875
2412685,,,,,,,,-1.859375,-3.0078125,11.546875,-2.3359375,-2.06640625,1.31640625,-2.921875,-7.78125,4.6875
2412686,,,,,,,,-1.75,-3.0859375,11.5703125,-2.25,-1.96875,1.435546875,-4.9140625,-4.3359375,3.15234375
2412687,,,,,,,,-3.9609375,1.0390625,9.69921875,-2.19140625,-1.70703125,1.17578125,-5.71875,-0.8125,1.9296875
2412688,,,,,,,,-4.12109375,4.3203125,8.328125,-2.189453125,-1.478515625,0.892578125,-6.06640625,-0.2734375,1.19921875
2412689,,,,,,,,-4.21875,3.8828125,8.19921875,-2.15625,-1.375,0.787109375,-6.83203125,-2.15234375,1.27734375
2412690,36.012795833333335,129.31896616666666,33.00960277527786,43.92142556501427,4.0,315.0,,-5.0234375,0.5703125,8.64453125,-1.919921875,-1.1875,0.712890625,-7.09375,-4.52734375,1.8125
2412691,,,,,,,,-4.99609375,-1.53125,8.96875,-1.654296875,-1.015625,0.619140625,-6.94921875,-5.828125,2.15625
2412692,,,,,,,,-4.34375,-1.87890625,9.76171875,-1.56640625,-0.970703125,0.517578125,-6.44921875,-5.75390625,2.73046875
2412693,,,,,,,,-2.87890625,-0.171875,11.53515625,-1.626953125,-0.896484375,0.1953125,-5.0625,-3.953125,4.49609375
2412694,,,,,,,,-1.34765625,3.84765625,9.07421875,-0.8125,-0.677734375,-0.455078125,-3.61328125,0.18359375,2.04296875
2412695,,,,,,,,-0.94140625,3.95703125,6.67578125,-0.0859375,-0.58984375,-1.236328125,-3.23046875,0.26171875,-0.29296875
2412696,,,,,,,,-1.0234375,3.14453125,5.81640625,0.025390625,-0.544921875,-1.521484375,-3.30859375,-0.58203125,-1.13671875
2412697,,,,,,,,-1.3984375,2.49609375,5.4921875,0.35546875,-0.416015625,-1.6015625,-3.65234375,-1.30859375,-1.40625
2412698,,,,,,,,-3.1640625,2.98828125,6.1796875,0.94140625,-0.298828125,-1.1953125,-5.37890625,-0.92578125,-0.640625
2412699,,,,,,,,-3.59375,3.05078125,6.6796875,1.296875,-0.234375,-0.96875,-5.80078125,-0.92578125,-0.1015625
2412700,36.01279866666666,129.318964,32.81427850750737,44.23580934024554,3.8000000000000003,320.0,0.0,-1.859375,-0.9765625,7.421875,1.8359375,-0.00390625,-0.66015625,-4.03125,-5.10546875,0.7421875
2412701,,,,,,,,12.9609375,-14.44140625,23.0,2.068359375,0.384765625,-0.57421875,10.828125,-18.734375,16.4453125
2412702,,,,,,,,7.7578125,-23.80078125,19.55078125,2.275390625,0.826171875,-0.509765625,5.6953125,-28.2734375,13.11328125
2412703,,,,,,,,11.21875,-24.578125,16.3125,2.978515625,1.55859375,-0.005859375,9.296875,-29.3515625,10.0859375
2412704,,,,,,,,15.28515625,-17.01953125,12.58984375,1.44140625,1.9375,0.19140625,13.47265625,-21.953125,6.48828125
2412705,,,,,,,,12.00390625,-11.31640625,11.796875,1.619140625,2.162109375,-0.3984375,10.33203125,-16.36328125,5.7578125
2412706,,,,,,,,10.95703125,-13.4375,16.93359375,3.25390625,2.283203125,-0.81640625,9.44921875,-18.66796875,11.04296875
2412707,,,,,,,,5.8125,-8.2578125,14.41015625,2.654296875,2.15234375,-1.01171875,4.5078125,-13.71875,8.70703125
2412708,,,,,,,,4.8515625,-5.56640625,13.80078125,1.23046875,1.8125,-0.326171875,3.78125,-11.23046875,8.28515625
2412709,,,,,,,,1.9609375,-2.76171875,12.859375,1.30078125,1.525390625,0.451171875,0.984375,-8.51171875,7.4453125
2412710,36.0128015,129.31896116666667,32.55885484558047,44.55019289856004,3.7,322.0,,-1.6015625,-0.5234375,12.46484375,1.677734375,1.189453125,0.908203125,-2.5390625,-6.3671875,7.17578125
2412711,,,,,,,,-3.34765625,1.578125,9.86328125,1.783203125,0.966796875,1.365234375,-4.30078125,-4.375,4.72265625
2412712,,,,,,,,-2.84765625,3.8203125,7.3046875,1.98828125,1.08984375,1.833984375,-3.8359375,-2.2265625,2.3125
2412713,,,,,,,,-1.02734375,3.56640625,5.5,2.048828125,1.251953125,1.9921875,-2.04296875,-2.53515625,0.5859375
2412714,,,,,,,,3.81640625,1.4765625,5.14453125,2.095703125,1.646484375,1.958984375,2.74609375,-4.71875,0.39453125
2412715,,,,,,,,10.3515625,-2.56640625,5.37109375,1.822265625,2.099609375,1.591796875,9.2578125,-8.85546875,0.77734375
2412716,,,,,,,,9.734375,-1.0390625,5.73828125,1.4296875,2.1640625,1.318359375,8.6484375,-7.3984375,1.27734375
