,time,latitude,longitude,enu_x,enu_y,speed,course,altitude,sat_num,hdop
0,3022620.0,36.0125165,129.31926233333334,59.708977816459495,12.92695339890732,0.039612188,,,,
1,3022630.0,36.0125165,129.31926233333334,59.708977816459495,12.92695339890732,0.037039968000000006,,,,
2,3022640.0,36.01251656604589,129.31926226752023,59.70304474944084,12.934281760846062,0.032048254100827366,,,,
3,3022650.0,36.01251666666667,129.31926216666668,59.69395278241087,12.945446502989425,0.031381084000000004,,,,
4,3022660.0,36.01251677039136,129.31926206154534,59.68447607792682,12.95695565072361,0.041782495395035764,,,,
5,3022670.0,36.01251683333333,129.319262,59.678927750623224,12.963939605514991,0.054531064000000004,,,,
6,3022680.0,36.01251683333333,129.319262,59.678927750623224,12.963939605514991,0.06173328,,,,
7,3022690.0,36.01251690075528,129.31926188229986,59.66831709844154,12.971420621237302,0.0683566302212876,,,,
8,3022700.0,36.012516999999995,129.31926166666665,59.648877810967655,12.982432607442556,0.080253264,,,,
9,3022710.0,36.012517073741,129.3192614027417,59.625085067670774,12.990614691001065,0.10244741620123243,,,,
10,3022720.0,36.012517166666655,129.31926116666668,59.60380297012762,13.000925506878163,0.132726552,285.08,,,
11,3022730.0,36.01251733333333,129.31926099999998,59.58877793404788,13.019418610477238,0.16770874400000002,294.85,,,
12,3022740.0,36.012517632948615,129.31926069524232,59.561303978866206,13.052663507007155,0.2003776367733254,,,,
13,3022750.0,36.01251799999999,129.31926033333332,59.52867780938818,13.093391024516768,0.230470912,304.48,,,
14,3022760.0,36.012518359107005,129.3192600297958,59.501313802233256,13.133237077634766,0.25889564393136544,,,,
15,3022770.0,36.01251883333333,129.31925966666668,59.46857756257914,13.185856643704081,0.304036404,314.49,,,
16,3022780.0,36.01251950000001,129.31925916666665,59.423502340908534,13.259829163259447,0.376573008,319.94,,,
17,3022790.0,36.01252008465124,129.319258773899,59.3880941219166,13.324701375951856,0.43027692210047386,,,,
18,3022800.0,36.01252066666667,129.31925833333335,59.34837694167211,13.389281092932187,0.482548472,324.58,,,
19,3022810.0,36.01252137116858,129.31925764925558,59.286707188224824,13.46745166804445,0.5584927390356392,,,,
20,3022820.0,36.012522166666656,129.31925683333333,59.213151665783386,13.55571902924432,0.6394538919999999,322.49,,,
21,3022830.0,36.01252299999999,129.31925599999997,59.13802651625616,13.648184550035147,0.7078749440000001,320.71,,,
22,3022840.0,36.01252374114495,129.31925516584994,59.062827813027,13.73042092014744,0.7703489609214917,,,,
23,3022850.0,36.01252450000001,129.31925433333333,58.98777634842926,13.814622390659249,0.8297981720000002,318.96,,,
24,3022860.0,36.01252540813424,129.3192535021345,58.91284357758718,13.91538776578017,0.8880459621567418,,,,
25,3022870.0,36.012526333333334,129.31925266666667,58.8375259387327,14.018046641506068,0.9388603000000001,319.6,,,
26,3022880.0,36.012527166666665,129.31925183333334,58.76240079936783,14.110512167221293,0.977958044,319.17,,,
27,3022890.0,36.01252804783686,129.31925107407727,58.69395364593272,14.20828567826508,1.0170325333283952,,,,
28,3022900.0,36.012528999999994,129.31925033333334,58.62717530124794,14.313936523444886,1.0525524240000002,321.93,,,
29,3022910.0,36.012530023028404,129.31924954354594,58.55597566596954,14.427450495225642,1.0790374821676876,,,,
30,3022920.0,36.012531,129.31924866666668,58.47692478533855,14.535853988742025,1.10862682,322.84,,,
31,3022930.0,36.01253183333333,129.31924766666666,58.386774746631495,14.628319416490106,1.150296784,321.91,,,
32,3022940.0,36.01253263907219,129.3192465556622,58.28661774683663,14.717722916227643,1.1850707801748126,,,,
33,3022950.0,36.0125335,129.3192455,58.19144977865503,14.813250176366287,1.2074000679999999,319.05,,,
34,3022960.0,36.01253447955959,129.3192446640073,58.116084804410626,14.921940856737539,1.214898672616604,,,,
35,3022970.0,36.0125355,129.31924383333333,58.041199280582845,15.035167647322881,1.225920052,320.17,,,
36,3022980.0,36.0125365,129.31924283333333,57.95104913329912,15.146126285065492,1.2557578040000001,320.89,,,
37,3022990.0,36.012537578137994,129.31924190224322,57.8671111145251,15.265755096414207,1.2860527678632097,,,,
38,3023000.0,36.01253866666668,129.319241,57.78577362281703,15.386536869777588,1.312861088,321.57,,,
39,3023010.0,36.012539681409024,129.3192400468348,57.69984560149314,15.499131337403204,1.3352987689463092,,,,
40,3023020.0,36.01254066666665,129.31923899999998,57.60547334362686,15.608454149366743,1.35813216,321.58,,,
41,3023030.0,36.01254166666667,129.31923783333335,57.50029830509791,15.719412695597265,1.38385436,320.54,,,
42,3023040.0,36.01254268096146,129.3192366463461,57.39329137022563,15.831957367391189,1.3988258661926805,,,,
43,3023050.0,36.01254366666667,129.3192355,57.28994823354999,15.941329788202992,1.4049465640000005,318.78,,,
44,3023060.0,36.012544580972545,129.31923443867151,57.194269439914216,16.042779843278367,1.4063895893028568,,,,
45,3023070.0,36.01254549999999,129.3192335,57.10964809870371,16.144753872871725,1.40443212,319.18,,,
46,3023080.0,36.0125465,129.31923266666666,57.03452287319329,16.255712618525152,1.4018598999999998,319.68,,,
47,3023090.0,36.01254758175305,129.31923160892322,56.939167157702904,16.375742490070827,1.4077243253617773,,,,
48,3023100.0,36.01254866666667,129.31923049999997,56.839197606940644,16.496123025945305,1.416778776,320.28,,,
49,3023110.0,36.01254967601832,129.31922956808506,56.755185311473376,16.60811936679587,1.422268065819516,,,,
50,3023120.0,36.01255066666667,129.31922866666667,56.67392227591434,16.7180404243694,1.4208943280000002,321.55,,,
51,3023130.0,36.01255166666667,129.31922766666668,56.583772161975524,16.828999076378167,1.410091004,320.87,,,
