time,latitude,longitude,enu_x,enu_y,speed,course,altitude,sat_num,hdop
3005050.0,36.01251416666666,129.31926616666667,60.05455242952544,12.668050878464129,0.06173328,,,,
3005060.0,36.01251409833605,129.31926588896792,60.0295180953472,12.66046879472902,0.08505427344105666,,,,
3005070.0,36.01251416666666,129.31926566666667,60.009477710014764,12.668050570601217,0.10031658,276.57,,,
3005080.0,36.012514333333336,129.31926549999997,59.99445267531083,12.686543673891649,0.106489908,275.52,,,
3005090.0,36.01251436838501,129.31926539039029,59.98457139514866,12.69043291425212,0.09739250738007627,,,,
3005100.0,36.012514333333336,129.31926533333336,59.979427773241206,12.686543571140923,0.08231104,,,,
3005110.0,36.01251432801513,129.319265324088,59.97859431279503,12.685953461685816,0.07156245939637258,,,,
3005120.0,36.012514333333336,129.31926533333336,59.979427773241206,12.686543571140923,0.060704392,,,,
3005130.0,36.012514333333336,129.31926533333336,59.979427773241206,12.686543571140923,0.046814404,,,,
3005140.0,36.01251434686964,129.3192653335959,59.97945143026922,12.68804554935684,0.03901213394624234,,,,
3005150.0,36.012514333333336,129.31926533333336,59.979427773241206,12.686543571140923,0.034982192,,,,
3005160.0,36.01251424897312,129.3192653301736,59.979142985734555,12.677183024162627,0.030889248564234358,,,,
3005170.0,36.01251416666666,129.31926533333336,59.97942789955227,12.668050365313562,0.028808863999999997,,,,
3005180.0,36.01251416666666,129.31926533333336,59.97942789955227,12.668050365313562,0.031895528,,,,
3005190.0,36.01251429322341,129.31926521799735,59.96903032593252,12.682092934352525,0.0466228165541252,,,,
3005200.0,36.0125145,129.319265,59.94937783188047,12.705036571788984,0.07202216,,,,
3005210.0,36.012514733284476,129.31926471071202,59.92329850540376,12.730921460121824,0.10604605934360038,,,,
3005220.0,36.012515,129.3192643333333,59.88927782356845,12.760515778188822,0.153818756,301.18,,,
3005230.0,36.01251533333334,129.31926383333334,59.84420285513764,12.797501882366852,0.220182032,305.91,,,
3005240.0,36.012515890866034,129.31926310432968,59.77848316143362,12.859364834398733,0.30344113103796466,,,,
3005250.0,36.01251666666667,129.31926233333334,59.708977690803735,12.945446605526353,0.39560743600000003,311.38,,,
3005260.0,36.01251762854024,129.3192617250858,59.65414379098809,13.052174986369277,0.48897478915648473,,,,
3005270.0,36.01251866666667,129.31926116666668,59.603801840701074,13.16736435696179,0.582865052,321.82,,,
3005280.0,36.01251966666666,129.31926049999998,59.54370146168319,13.278323181254823,0.677522748,323.49,,,
3005290.0,36.01252060118472,129.3192594541518,59.44941813749359,13.38201594969765,0.7784838490177204,,,,
3005300.0,36.0125215,129.31925833333335,59.348376317229054,13.481747120494209,0.8683814720000002,319.85,,,
3005310.0,36.01252239745095,129.31925748691168,59.27207121089208,13.581327074188511,0.9289260719168058,,,,
3005320.0,36.012523333333334,129.31925666666666,59.19812588855269,13.685171365958574,0.9795013760000001,319.8,,,
3005330.0,36.01252433333333,129.3192556666667,59.10797571572593,13.796129991911563,1.03660466,319.97,,,
3005340.0,36.01252531279339,129.3192547406425,59.024494431033425,13.90480956775313,1.0829172150281239,,,,
3005350.0,36.01252633333333,129.31925383333333,58.942700270474546,14.0180473467897,1.12663236,320.0,,,
3005360.0,36.01252747068254,129.31925284719017,58.853799183613326,14.144246146979444,1.1788298653127043,,,,
3005370.0,36.01252866666667,129.31925183333334,58.76239968603908,14.276951016165189,1.2310644920000002,321.1,,,
3005380.0,36.01252983333333,129.3192508333333,58.672249395135346,14.406402851995875,1.2727344560000002,321.48,,,
3005390.0,36.01253079201426,129.31924978989025,58.578182894689895,14.512776724758197,1.2909004867388005,,,,
3005400.0,36.01253166666667,129.31924866666668,58.476924292682284,14.609826809621705,1.3036010960000002,320.13,,,
3005410.0,36.01253261102581,129.31924743687514,58.366058601298526,14.714611440190446,1.3310313406628478,,,,
3005420.0,36.01253366666667,129.31924633333333,58.26657417034676,14.831743878231283,1.3596754920000003,319.03,,,
3005430.0,36.01253483333333,129.3192455,58.191448798523155,14.96119582007221,1.377681032,319.77,,,
3005440.0,36.01253586004062,129.31924440372103,58.092619133881925,15.075117818842994,1.3950272249581603,,,,
3005450.0,36.012536833333336,129.31924316666667,57.9810986939563,15.183112895355283,1.4147210000000001,319.38,,,
3005460.0,36.01253788158717,129.31924199986622,57.875911549755266,15.299425642952048,1.4381060755351533,,,,
3005470.0,36.012539,129.319241,57.785773379767136,15.423523279153052,1.4548476320000001,319.43,,,
3005480.0,36.01254016666667,129.31924016666665,57.71064801840432,15.552975224371451,1.459477628,320.89,,,
3005490.0,36.01254127896898,129.31923891737677,57.598024461194754,15.67639469777853,1.4811967325496267,,,,
3005500.0,36.012542333333336,129.31923749999999,57.47024801670451,15.793385321029525,1.506806476,318.66,,,
3005510.0,36.01254334328918,129.31923625948752,57.35841581853733,15.90544851604836,1.5182416105331604,,,,
3005520.0,36.01254433333334,129.31923516666666,57.25989794997363,16.015302413370673,1.516066468,318.05,,,
3005530.0,36.01254533333334,129.31923416666666,57.169747821052056,16.126261059841692,1.504234256,318.12,,,
3005540.0,36.01254637551348,129.31923310529908,57.07406541284233,16.24189994807498,1.5030782290246962,,,,
3005550.0,36.0125475,129.319232,56.97442255214051,16.366671462217564,1.5155520240000002,319.04,,,
3005560.0,36.01254874154843,129.3192308939037,56.87470773855896,16.50443207782235,1.5412204021032354,,,,
3005570.0,36.012550000000005,129.31922983333334,56.77909705323019,16.644068281521342,1.5572219879999998,320.73,,,
3005580.0,36.01255116666667,129.31922883333334,56.688946817275784,16.773520137655247,1.5464186640000002,321.12,,,
