,time,latitude,longitude,enu_x,enu_y,speed,course,Hrage,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
0,794500,36.012847,129.32205633333334,311.58520689551835,49.60430361779668,0.1,65535.0,166.0,-0.34375,-0.3359375,-0.11328125,0.01171875,-2.53515625,0.267578125,-20.333333333333314,6.2555555555555316,175.86666666666667
1,794501,,,,,,,,-0.34375,-0.3359375,-0.11328125,0.01171875,-2.53515625,0.267578125,-20.333333333333314,6.2555555555555316,175.86666666666667
2,794502,,,,,,,,-0.34375,-0.3359375,-0.11328125,0.01171875,-2.53515625,0.267578125,-20.333333333333314,6.2555555555555316,175.86666666666667
3,794503,,,,,,,,-0.34375,-0.3359375,-0.11328125,0.01171875,-2.53515625,0.267578125,-20.333333333333314,6.2555555555555316,175.86666666666667
4,794504,,,,,,,,-0.34375,-0.3359375,-0.11328125,0.01171875,-2.53515625,0.267578125,-20.333333333333314,6.2555555555555316,175.86666666666667
5,794505,,,,,,,,-0.34375,-0.3359375,-0.11328125,0.01171875,-2.53515625,0.267578125,-20.333333333333314,6.2555555555555316,175.86666666666667
6,794506,,,,,,,,-0.34375,-0.3359375,-0.11328125,0.01171875,-2.53515625,0.267578125,-20.333333333333314,6.2555555555555316,175.86666666666667
7,794507,,,,,,,,-0.34375,-0.3359375,-0.11328125,0.01171875,-2.53515625,0.267578125,-20.333333333333314,6.2555555555555316,175.86666666666667
8,794508,,,,,,,,-0.34375,-0.3359375,-0.11328125,0.01171875,-2.53515625,0.267578125,-20.333333333333314,6.2555555555555316,175.86666666666667
9,794509,,,,,,,,-0.34375,-0.3359375,-0.11328125,0.01171875,-2.53515625,0.267578125,-20.333333333333314,6.2555555555555316,175.86666666666667
10,794510,36.01284666666666,129.322056,311.55515851968335,49.56731613865863,0.1,65535.0,,0.046875,-1.0546875,0.54296875,-0.595703125,-2.615234375,0.087890625,-27.155555555555566,11.600000000000023,176.8
11,794511,,,,,,,,0.828125,-1.078125,0.33203125,-1.177734375,-4.625,0.70703125,-24.98888888888888,10.97777777777776,177.0222222222222
12,794512,,,,,,,,0.828125,-1.078125,0.33203125,-1.177734375,-4.625,0.70703125,-24.98888888888888,10.97777777777776,177.0222222222222
13,794513,,,,,,,,0.453125,-0.30078125,-0.1640625,-1.4765625,-6.283203125,1.193359375,-21.833333333333314,10.199999999999989,177.05555555555554
14,794514,,,,,,,,0.25,0.24609375,-0.625,-1.484375,-7.201171875,1.509765625,-17.911111111111097,9.399999999999977,176.94444444444446
15,794515,,,,,,,,0.203125,0.3984375,-0.453125,-1.134765625,-7.330078125,1.357421875,-13.688888888888869,8.688888888888869,176.77777777777777
16,794516,,,,,,,,0.203125,0.3984375,-0.453125,-1.134765625,-7.330078125,1.357421875,-13.688888888888869,8.688888888888869,176.77777777777777
17,794517,,,,,,,,-0.3203125,0.65234375,-0.36328125,-0.48828125,-6.8125,0.91015625,-9.600000000000023,8.233333333333348,176.73333333333332
18,794518,,,,,,,,-0.5078125,0.34765625,-0.05859375,0.216796875,-5.7734375,0.45703125,-6.188888888888869,8.144444444444446,176.85555555555555
19,794519,,,,,,,,-0.5078125,0.34765625,-0.05859375,0.216796875,-5.7734375,0.45703125,-6.188888888888869,8.144444444444446,176.85555555555555
20,794520,36.01284583333334,129.32205683333333,311.63028601685266,49.474852771457364,0.1,65535.0,,-0.50390625,0.17578125,0.453125,0.830078125,-4.296875,0.11328125,-3.2888888888888914,8.433333333333337,177.11111111111111
21,794521,,,,,,,,-0.3125,0.12109375,0.30078125,1.123046875,-2.75,-0.158203125,-1.2222222222222285,9.0,177.45555555555555
22,794522,,,,,,,,-0.31640625,0.36328125,-0.2890625,0.966796875,-1.435546875,-0.3125,-0.04444444444442297,9.600000000000023,177.77777777777777
23,794523,,,,,,,,-0.32421875,0.6015625,-0.0078125,0.591796875,-0.36328125,-0.294921875,0.4333333333333371,10.055555555555543,178.04444444444445
24,794524,,,,,,,,0.03515625,0.6015625,0.0390625,0.224609375,0.568359375,-0.216796875,0.3555555555555543,10.288888888888891,178.17777777777778
25,794525,,,,,,,,0.13671875,0.66796875,-0.12109375,-0.080078125,1.521484375,-0.142578125,-0.2333333333333485,10.322222222222194,178.17777777777778
26,794526,,,,,,,,0.13671875,0.66796875,-0.12109375,-0.080078125,1.521484375,-0.142578125,-0.2333333333333485,10.322222222222194,178.17777777777778
27,794527,,,,,,,,-0.01953125,0.5625,0.18359375,-0.16796875,2.404296875,-0.095703125,-1.3555555555555543,10.266666666666652,178.04444444444445
28,794528,,,,,,,,-0.16796875,0.0703125,-0.3046875,-0.01953125,3.26953125,-0.138671875,-2.933333333333337,10.222222222222229,177.82222222222222
29,794529,,,,,,,,-0.0078125,-0.04296875,-0.55078125,0.1875,4.013671875,-0.265625,-5.01111111111112,10.288888888888891,177.56666666666666
30,794530,36.012845500000005,129.32205683333333,311.63028732896885,49.43786635892068,0.2,65535.0,,-0.22265625,-0.3046875,-0.76953125,0.830078125,-4.296875,0.11328125,-3.2888888888888914,8.433333333333337,177.11111111111111
31,794531,,,,,,,,-0.46484375,-0.3671875,-1.015625,0.33203125,4.46484375,-0.349609375,-9.811111111111131,10.677777777777806,177.05555555555554
32,794532,,,,,,,,-0.2265625,-0.234375,-0.77734375,0.322265625,4.248046875,-0.326171875,-12.377777777777794,10.944444444444457,176.75555555555556
33,794533,,,,,,,,0.19140625,-0.265625,-0.52734375,0.3671875,3.79296875,-0.369140625,-14.677777777777806,11.199999999999989,176.51111111111112
34,794534,,,,,,,,0.359375,-0.17578125,-0.51171875,0.44921875,3.123046875,-0.4453125,-16.644444444444446,11.47777777777776,176.34444444444443
35,794535,,,,,,,,0.13671875,-0.0859375,0.79296875,0.39453125,0.046875,-0.05078125,-18.588888888888903,12.01111111111112,176.3111111111111
36,794536,,,,,,,,0.6640625,0.19140625,0.6640625,0.291015625,-1.236328125,0.298828125,-18.25555555555553,12.199999999999989,176.3111111111111
37,794537,,,,,,,,0.68359375,0.41796875,0.46875,0.265625,-1.927734375,0.544921875,-17.27777777777777,12.377777777777794,176.26666666666668
38,794538,,,,,,,,0.6796875,0.6796875,0.72265625,0.328125,-2.23046875,0.6171875,-16.055555555555543,12.566666666666663,176.2
39,794539,,,,,,,,0.421875,0.5546875,0.98046875,0.4296875,-2.373046875,0.5703125,-14.688888888888869,12.800000000000011,176.15555555555557
40,794540,36.0128445,129.32205766666667,311.7054154865551,49.32690978574958,0.30000000000000004,65535.0,,0.42578125,0.65234375,0.703125,0.48046875,-2.296875,0.5234375,-13.300000000000011,13.066666666666663,176.15555555555557
41,794541,,,,,,,,0.8359375,0.7890625,0.58984375,0.484375,-2.0078125,0.458984375,-12.066666666666663,13.333333333333314,176.15555555555557
42,794542,,,,,,,,0.6875,0.65234375,0.6875,0.482421875,-1.76171875,0.38671875,-10.933333333333337,13.611111111111086,176.17777777777778
43,794543,,,,,,,,0.3984375,0.60546875,0.78125,0.4453125,-1.775390625,0.376953125,-9.899999999999977,13.877777777777794,176.2
44,794544,,,,,,,,0.71875,0.59765625,0.45703125,0.357421875,-1.87890625,0.416015625,-8.844444444444434,14.100000000000023,176.24444444444444
