time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,motion
604386,,,,,,,,0.0625,3.16015625,-0.43359375,0.201171875,0.75,-0.244140625,-0.2265625,-6.43359375,0.96484375,1.0
604387,,,,,,,,-0.14453125,3.3828125,-0.3359375,0.15234375,0.744140625,-0.234375,-0.41796875,-6.20703125,1.078125,1.0
604388,,,,,,,,-0.50390625,3.30859375,-0.45703125,0.09375,0.748046875,-0.232421875,-0.76171875,-6.27734375,0.96484375,1.0
604389,,,,,,,,-1.0859375,3.0,-0.625,0.119140625,0.74609375,-0.234375,-1.3359375,-6.58984375,0.8125,1.0
604390,36.013207666666666,129.31923966666668,57.66508713147716,89.6182671858468,1.2000000000000002,239.0,,-1.37109375,2.921875,-0.640625,-0.662109375,0.498046875,-0.15234375,0.84765625,-9.953125,0.62109375,1.0
604391,,,,,,,,-1.625,2.6875,-0.671875,0.26953125,0.66796875,-0.26953125,-1.8359375,-6.890625,0.8125,1.0
604392,,,,,,,,-1.859375,2.5703125,-0.57421875,0.302734375,0.666015625,-0.28125,-2.0625,-7.0078125,0.92578125,1.0
604393,,,,,,,,-1.9140625,2.44921875,-0.55859375,0.349609375,0.6640625,-0.28515625,-2.1015625,-7.1171875,0.96484375,1.0
604394,,,,,,,,-1.9609375,2.44921875,-0.57421875,0.34375,0.669921875,-0.279296875,-2.140625,-7.12109375,0.96484375,1.0
604395,,,,,,,,-1.8984375,2.40234375,-0.61328125,0.3046875,0.654296875,-0.265625,-2.0625,-7.15625,0.96484375,1.0
604396,,,,,,,,-1.6875,2.31640625,-0.76171875,0.24609375,0.654296875,-0.21484375,-1.8359375,-7.234375,0.84765625,1.0
604397,,,,,,,,-1.5703125,2.2421875,-0.8515625,0.24609375,0.650390625,-0.1953125,-1.71875,-7.3125,0.7734375,1.0
604398,,,,,,,,-1.42578125,1.92578125,-0.76171875,0.240234375,0.63671875,-0.166015625,-1.56640625,-7.62109375,0.88671875,1.0
604399,,,,,,,,-1.34765625,1.46875,-0.69140625,0.244140625,0.62109375,-0.142578125,-1.48828125,-8.08203125,0.96484375,1.0
604400,36.01320716666667,129.3192385,57.55991407134965,89.56278687300205,1.2000000000000002,240.0,0.0,-1.234375,0.53125,-0.86328125,0.302734375,0.5390625,-0.10546875,-1.375,-9.00390625,0.84765625,1.0
604401,,,,,,,,-1.46484375,0.32421875,-1.09375,0.28125,0.455078125,-0.109375,-1.60546875,-9.19140625,0.65625,1.0
604402,,,,,,,,-1.578125,0.32421875,-1.19140625,0.236328125,0.376953125,-0.11328125,-1.71875,-9.19140625,0.58203125,1.0
604403,,,,,,,,-1.5859375,0.27734375,-1.20703125,0.208984375,0.3359375,-0.126953125,-1.71875,-9.23046875,0.58203125,1.0
604404,,,,,,,,-1.47265625,0.34765625,-1.22265625,0.17578125,0.30859375,-0.12890625,-1.60546875,-9.15234375,0.58203125,1.0
604405,,,,,,,,-1.1640625,0.1953125,-1.421875,0.16015625,0.322265625,-0.146484375,-1.296875,-9.3046875,0.390625,1.0
604406,,,,,,,,-0.75,-0.12109375,-1.40625,0.154296875,0.34375,-0.173828125,-0.875,-9.61328125,0.4296875,1.0
604407,,,,,,,,-0.4140625,-0.6171875,-1.23046875,0.14453125,0.32421875,-0.19140625,-0.53125,-10.109375,0.62109375,1.0
604408,,,,,,,,-0.4609375,-0.76953125,-1.125,0.12890625,0.3125,-0.203125,-0.5703125,-10.2578125,0.734375,1.0
604409,,,,,,,,-0.96484375,-0.89453125,-0.90234375,0.1015625,0.279296875,-0.2109375,-1.06640625,-10.37890625,0.96484375,1.0
604410,36.01320666666666,129.31923716666668,57.43971623218606,89.50730646363048,1.2000000000000002,244.0,,-1.41015625,-0.86328125,-1.2265625,0.03515625,0.23046875,-0.212890625,-1.48828125,-10.33984375,0.65625,1.0
604411,,,,,,,,-1.1875,-0.82421875,-1.6015625,-0.041015625,0.21875,-0.19921875,-1.2578125,-10.296875,0.2734375,1.0
604412,,,,,,,,-0.96875,-0.9765625,-1.63671875,-0.08984375,0.212890625,-0.201171875,-1.03125,-10.453125,0.23828125,1.0
604413,,,,,,,,-0.4453125,-1.19921875,-1.421875,-0.205078125,0.30078125,-0.21484375,-0.4921875,-10.6796875,0.4296875,1.0
604414,,,,,,,,-0.5,-0.39453125,-0.75,-0.2265625,0.404296875,-0.236328125,-0.53125,-9.87890625,1.078125,1.0
