time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,prediction
4136837,,,,,,,,-0.13671875,-6.0078125,1.7890625,-0.3671875,-0.28515625,0.005859375,0.08984375,-15.2578125,4.4765625,
4136838,,,,,,,,0.4453125,-6.65234375,2.37890625,-0.37890625,-0.263671875,0.013671875,0.6640625,-15.91015625,5.05078125,
4136839,,,,,,,,3.08203125,-4.5,3.98828125,-0.416015625,-0.21484375,0.01953125,3.30859375,-13.76953125,6.62109375,
4136840,36.012511,129.3192447,58.11634178,12.31666694,1.4,320,,3.50390625,-1.34375,3.18359375,0.228515625,0.126953125,-0.232421875,-1.171875,-8.25390625,1.02734375,
4136841,,,,,,,,1.88671875,0.03515625,3.484375,-0.9296875,-0.275390625,0.05859375,2.12109375,-9.28125,5.96875,
4136842,,,,,,,,0.1953125,-0.32421875,3.9609375,-1.072265625,-0.39453125,0.06640625,0.4375,-9.66796875,6.3515625,
4136843,,,,,,,,-1.109375,-2.75,3.63671875,-0.7265625,-0.431640625,0.03515625,-0.8671875,-12.1171875,5.93359375,
4136844,,,,,,,,-1.33984375,-3.28125,4.2109375,0.013671875,-0.068359375,-0.06640625,-1.09765625,-12.66015625,6.46875,
4136845,,,,,,,,-0.6171875,-3.28125,3.26953125,0.302734375,0.341796875,-0.09765625,-0.3671875,-12.65625,5.55078125,
4136846,,,,,,,,-0.234375,-3.05078125,3.09765625,0.232421875,0.38671875,-0.103515625,0.015625,-12.421875,5.39453125,
4136847,,,,,,,,0.1484375,-2.28515625,3.08984375,-0.037109375,0.181640625,-0.0546875,0.3984375,-11.66015625,5.39453125,
4136848,,,,,,,,0.33203125,-1.2890625,2.72265625,-0.35546875,-0.171875,0.021484375,0.58984375,-10.6640625,5.01171875,
4136849,,,,,,,,0.33984375,-0.57421875,1.765625,-0.455078125,-0.357421875,0.16796875,0.58984375,-9.97265625,4.015625,
4136850,36.01251217,129.3192437,58.02619148,12.44611878,1.5,323,,0.38671875,-0.68359375,1.4609375,0.228515625,0.126953125,-0.232421875,0.62890625,-10.08984375,3.671875,
4136851,,,,,,,,0.5234375,-0.8671875,1.1640625,-0.107421875,-0.380859375,0.2890625,0.7421875,-10.28515625,3.3671875,
4136852,,,,,,,,0.28515625,-0.7109375,0.703125,-0.033203125,-0.30859375,0.376953125,0.47265625,-10.125,2.90625,
4136853,,,,,,,,-0.1796875,0.21484375,0.05859375,-0.0390625,-0.3359375,0.416015625,-0.0234375,-9.20703125,2.25390625,
4136854,,,,,,,,-0.2265625,1.06640625,-0.35546875,-0.115234375,-0.4375,0.421875,-0.1015625,-8.359375,1.83203125,
4136855,,,,,,,,-0.234375,1.49609375,-0.53125,-0.189453125,-0.515625,0.431640625,-0.140625,-7.9375,1.640625,
4136856,,,,,,,,-0.21875,1.72265625,-0.5625,-0.201171875,-0.533203125,0.431640625,-0.140625,-7.71484375,1.6015625,
4136857,,,,,,,,-0.109375,2.18359375,-0.62109375,-0.16796875,-0.5,0.427734375,-0.0625,-7.25,1.52734375,
4136858,,,,,,,,-0.078125,2.46875,-0.56640625,-0.10546875,-0.4765625,0.439453125,-0.0625,-6.98828125,1.56640625,
4136859,,,,,,,,0.13671875,2.96484375,-0.68359375,-0.041015625,-0.484375,0.455078125,0.12890625,-6.484375,1.44921875,
4136860,36.01251333,129.3192428,57.95106609,12.57557072,1.4,325,,0.30859375,3.34765625,-0.7578125,-0.00390625,-0.501953125,0.478515625,0.24609375,-6.1015625,1.375,
4136861,,,,,,,,0.5,3.88671875,-1.1796875,-0.01171875,-0.513671875,0.501953125,0.3984375,-5.56640625,0.953125,
4136862,,,,,,,,0.63671875,4.0390625,-1.21875,-0.005859375,-0.509765625,0.509765625,0.51171875,-5.4140625,0.9140625,
4136863,,,,,,,,1.328125,4.26953125,-1.44921875,0.037109375,-0.51953125,0.5234375,1.1640625,-5.1796875,0.68359375,
4136864,,,,,,,,1.83984375,4.26953125,-1.53515625,0.068359375,-0.51953125,0.529296875,1.66015625,-5.18359375,0.60546875,
4136865,,,,,,,,2.36328125,4.0703125,-1.55078125,0.171875,-0.5234375,0.55078125,2.12109375,-5.375,0.60546875,
4136866,,,,,,,,2.45703125,3.83984375,-1.83203125,0.189453125,-0.51953125,0.546875,2.19921875,-5.60546875,0.33984375,
4136867,,,,,,,,2.2578125,3.6015625,-2.078125,0.220703125,-0.5,0.537109375,1.96875,-5.83984375,0.109375,
4136868,,,,,,,,2.01171875,3.36328125,-1.94140625,0.21484375,-0.48046875,0.529296875,1.69921875,-6.06640625,0.26171875,
4136869,,,,,,,,1.35546875,2.97265625,-1.25,0.1875,-0.5546875,0.435546875,0.97265625,-6.4453125,0.9921875,
4136870,36.012514,129.3192417,57.84589126,12.64954285,1.3,322,,1.31640625,2.6875,-1.3203125,0.19921875,-0.435546875,0.357421875,0.89453125,-6.72265625,0.953125,
4136871,,,,,,,,1.44921875,2.03125,-1.296875,0.185546875,-0.326171875,0.302734375,1.01171875,-7.37109375,0.9921875,
4136872,,,,,,,,1.234375,1.1796875,-1.23828125,0.16015625,-0.228515625,0.251953125,0.78125,-8.2109375,1.06640625,
4136873,,,,,,,,1.171875,0.94921875,-1.20703125,0.1640625,-0.1796875,0.22265625,0.703125,-8.4375,1.10546875,
4136874,,,,,,,,1.11328125,0.40625,-1.1171875,0.193359375,-0.11328125,0.1953125,0.62890625,-8.9765625,1.21875,
4136875,,,,,,,,0.9296875,-0.53125,-0.82421875,0.197265625,-0.083984375,0.16796875,0.4375,-9.90234375,1.52734375,
4136876,,,,,,,,0.71484375,-0.84375,-0.49609375,0.162109375,-0.05078125,0.154296875,0.20703125,-10.20703125,1.87109375,
4136877,,,,,,,,0.19140625,-0.8828125,-0.28125,0.123046875,0.0390625,0.12890625,-0.33203125,-10.2421875,2.1015625,
4136878,,,,,,,,0.125,-0.8125,-0.25,0.115234375,0.060546875,0.125,-0.40625,-10.1640625,2.140625,
4136879,,,,,,,,0.3984375,-0.5546875,-0.296875,0.0859375,0.087890625,0.11328125,-0.140625,-9.90234375,2.1015625,
4136880,36.012515,129.3192403,57.72569127,12.76050129,1.5,319,,0.72265625,-0.33203125,-0.52734375,0.06640625,0.138671875,0.09375,0.16796875,-9.66796875,1.87109375,
4136881,,,,,,,,1.2265625,-0.40625,-0.91796875,0.0859375,0.185546875,0.076171875,0.6640625,-9.7421875,1.48828125,
4136882,,,,,,,,1.3046875,-0.5625,-1.15625,0.14453125,0.197265625,0.0625,0.7421875,-9.8984375,1.2578125,
4136883,,,,,,,,1.3125,-0.67578125,-1.23046875,0.171875,0.181640625,0.060546875,0.7421875,-10.0078125,1.18359375,
4136884,,,,,,,,1.328125,-0.8359375,-1.33984375,0.2109375,0.076171875,0.033203125,0.7421875,-10.16796875,1.10546875,
4136885,,,,,,,,1.0234375,-0.62109375,-1.35546875,0.16796875,-0.005859375,0.01171875,0.4375,-9.93359375,1.10546875,
4136886,,,,,,,,0.484375,-0.20703125,-0.8359375,0.056640625,-0.021484375,-0.009765625,-0.1015625,-9.51171875,1.640625,
4136887,,,,,,,,0.4375,0.296875,-0.16796875,-0.1875,0.03515625,-0.041015625,-0.140625,-9.01953125,2.29296875,
4136888,,,,,,,,0.5546875,0.375,0.0703125,-0.263671875,0.0625,-0.05078125,-0.0234375,-8.94140625,2.5234375,
4136889,,,,,,,,1.49609375,-0.73046875,0.18359375,-0.412109375,0.080078125,-0.078125,0.93359375,-10.05078125,2.59765625,
4136890,36.01251583,129.3192392,57.62051632,12.85296663,1.4,316,,2.03125,-2.28515625,0.0390625,0.06640625,0.138671875,0.09375,1.46875,-11.6171875,2.40625,
4136891,,,,,,,,1.75,-4.19140625,0.59375,-0.625,0.154296875,-0.095703125,1.203125,-13.53515625,2.90625,
4136892,,,,,,,,0.36328125,-4.3671875,1.95703125,-0.66796875,0.205078125,-0.08203125,-0.17578125,-13.73046875,4.20703125,
4136893,,,,,,,,-0.94140625,-4.50390625,3.25390625,-0.73828125,0.1796875,-0.078125,-1.48046875,-13.875,5.43359375,
4136894,,,,,,,,-2.51953125,-6.09765625,4.703125,-0.923828125,0.125,-0.056640625,-3.05078125,-15.48828125,6.8125,
4136895,,,,,,,,-3.5234375,-4.91015625,6.015625,-1.36328125,0.11328125,-0.056640625,-4.046875,-14.3359375,7.9609375,
4136896,,,,,,,,-2.45703125,-3.5390625,5.1171875,-1.333984375,0.345703125,-0.080078125,-2.97265625,-13.00390625,6.9296875,
4136897,,,,,,,,-1.15625,-2.85546875,4.62890625,-0.880859375,0.939453125,-0.115234375,-1.671875,-12.34765625,6.27734375,
4136898,,,,,,,,0.76953125,-1.69921875,2.59765625,-0.708984375,0.90234375,-0.052734375,0.24609375,-11.1953125,4.16796875,
4136899,,,,,,,,0.8125,-1.21484375,2.2421875,-0.552734375,0.55078125,-0.05859375,0.28125,-10.734375,3.75,
4136900,36.01251683,129.3192378,57.50031634,12.96392508,1.4,313,0,0.1640625,-1.17578125,1.99609375,0.2265625,0.23828125,-0.0703125,-0.3671875,-10.69921875,3.48046875,2
4136901,,,,,,,,-0.65625,-1.40625,2.23828125,0.49609375,0.19140625,-0.130859375,-1.171875,-10.9296875,3.78515625,2
4136902,,,,,,,,-0.96484375,-1.0625,1.91015625,0.478515625,0.21875,-0.150390625,-1.48046875,-10.5859375,3.48046875,2
4136903,,,,,,,,-0.86328125,-0.6015625,1.52734375,0.36328125,0.3359375,-0.1953125,-1.36328125,-10.12890625,3.13671875,2
4136904,,,,,,,,-0.421875,0.1953125,0.890625,0.2109375,0.478515625,-0.224609375,-0.90625,-9.32421875,2.5234375,2
4136905,,,,,,,,-0.12109375,0.578125,0.68359375,-0.025390625,0.4921875,-0.248046875,-0.59765625,-8.94140625,2.33203125,2
4136906,,,,,,,,0.0546875,0.77734375,0.4140625,-0.107421875,0.4765625,-0.26953125,-0.40625,-8.74609375,2.0625,2
4136907,,,,,,,,0.3046875,1.20703125,-0.18359375,-0.142578125,0.443359375,-0.310546875,-0.140625,-8.32421875,1.44921875,2
4136908,,,,,,,,-0.14453125,1.89453125,-0.015625,-0.072265625,0.38671875,-0.333984375,-0.55859375,-7.63671875,1.6015625,2
4136909,,,,,,,,-0.34375,2.09375,-0.0234375,-0.033203125,0.333984375,-0.349609375,-0.75,-7.4453125,1.6015625,2
4136910,36.01251767,129.3192367,57.39514139,13.05639042,1.5,313,,-0.5078125,2.70703125,-0.0234375,0.009765625,0.208984375,-0.380859375,-0.8671875,-6.83203125,1.6015625,2
4136911,,,,,,,,-0.5390625,3.2421875,-0.2890625,0.041015625,0.20703125,-0.376953125,-0.8671875,-6.30078125,1.3359375,2
4136912,,,,,,,,-0.578125,3.48046875,-0.49609375,0.05078125,0.310546875,-0.37109375,-0.8671875,-6.0625,1.14453125,2
4136913,,,,,,,,-0.5546875,3.55859375,-0.49609375,0.0546875,0.357421875,-0.369140625,-0.828125,-5.98828125,1.14453125,2
4136914,,,,,,,,-0.65625,3.55859375,-0.61328125,0.064453125,0.40625,-0.361328125,-0.90625,-5.98828125,1.02734375,2
4136915,,,,,,,,-0.80859375,3.6328125,-0.55078125,0.083984375,0.341796875,-0.3515625,-1.01953125,-5.91796875,1.10546875,2
4136916,,,,,,,,-1.26171875,3.44140625,-0.56640625,0.10546875,0.2578125,-0.34765625,-1.44140625,-6.1015625,1.10546875,2
4136917,,,,,,,,-1.40625,3.44140625,-0.61328125,0.12890625,0.185546875,-0.341796875,-1.5546875,-6.1015625,1.06640625,2
4136918,,,,,,,,-1.5390625,3.48046875,-0.734375,0.1328125,0.16796875,-0.33984375,-1.671875,-6.06640625,0.953125,2
4136919,,,,,,,,-1.72265625,3.625,-1.01171875,0.15625,0.15234375,-0.333984375,-1.82421875,-5.91796875,0.68359375,2
