time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,motion
3480430,36.01302533333333,129.31898116666667,34.36173996854339,69.38657633491832,3.4000000000000004,37.0,,-1.81640625,4.0703125,2.74609375,3.001953125,1.228515625,1.390625,-5.80859375,4.6796875,6.9296875,2.0
3480431,,,,,,,,-3.5390625,2.84765625,1.46484375,-2.517578125,0.572265625,-0.689453125,-7.53125,3.30078125,5.66796875,2.0
3480432,,,,,,,,-0.64453125,1.07421875,-2.51171875,-0.2734375,0.787109375,-0.37890625,-4.65625,1.34765625,1.68359375,2.0
3480433,,,,,,,,1.7109375,-4.6875,-2.76171875,0.892578125,0.64453125,0.326171875,-2.3203125,-4.4375,1.41796875,2.0
3480434,,,,,,,,2.14453125,-13.96875,-1.56640625,1.5625,0.583984375,1.033203125,-1.90234375,-13.671875,2.60546875,2.0
3480435,,,,,,,,4.69140625,-32.9375,2.78515625,1.8125,0.7109375,1.748046875,0.62890625,-32.55859375,6.93359375,2.0
3480436,,,,,,,,6.18359375,-47.3359375,6.015625,1.93359375,0.77734375,2.208984375,2.12109375,-46.88671875,10.1484375,2.0
3480437,,,,,,,,-8.296875,-78.140625,18.96875,2.650390625,0.859375,3.4453125,-8.296875,-78.140625,28.765625,2.0
3480438,,,,,,,,-4.58203125,-29.375,5.90625,2.833984375,0.427734375,3.19921875,-4.58203125,-29.375,15.703125,2.0
3480439,,,,,,,,5.1875,-15.81640625,-10.94921875,1.931640625,-0.306640625,-0.158203125,5.1875,-15.8125,-1.15234375,2.0
3480440,36.013027666666666,129.31898316666667,34.54203666885596,69.64548194075232,3.2,38.0,,17.63671875,-13.2109375,-15.73828125,2.79296875,0.0390625,-5.87890625,17.6328125,-13.2109375,-5.9375,2.0
3480441,,,,,,,,19.93359375,-13.9375,-10.26171875,1.90234375,0.185546875,-4.64453125,19.9296875,-13.9375,-0.4609375,2.0
3480442,,,,,,,,10.77734375,-13.2109375,-2.8671875,-1.412109375,0.189453125,-1.193359375,10.77734375,-13.2109375,6.93359375,2.0
3480443,,,,,,,,9.515625,-15.8515625,-0.41796875,-3.490234375,-0.7265625,1.1953125,9.515625,-15.85546875,9.3828125,2.0
3480444,,,,,,,,5.64453125,-13.36328125,-5.05078125,-1.82421875,-0.16015625,1.33203125,5.64453125,-13.36328125,4.75,2.0
3480445,,,,,,,,3.5,-10.56640625,-5.625,0.609375,-0.0546875,0.37890625,3.5,-10.5625,4.17578125,2.0
3480446,,,,,,,,1.66015625,-9.265625,-5.89453125,0.91796875,-0.4140625,0.01171875,1.66015625,-9.26953125,3.90625,2.0
3480447,,,,,,,,0.78125,-9.11328125,-7.46484375,0.265625,-0.921875,-0.2109375,0.78125,-9.109375,2.3359375,2.0
3480448,,,,,,,,-0.3671875,-8.34375,-7.6953125,-0.01171875,-1.205078125,0.25,-0.3671875,-8.34765625,2.10546875,2.0
3480449,,,,,,,,-0.828125,-7.80859375,-8.15234375,-0.279296875,-1.029296875,0.98828125,-0.828125,-7.8046875,1.64453125,2.0
3480450,36.01303,129.31898416666667,34.63218450230438,69.90438719367515,3.0,29.0,,-1.90234375,-6.54296875,-8.99609375,-0.62109375,-0.3359375,1.37109375,-1.90234375,-6.54296875,0.8046875,2.0
