time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,motion
3312436,,,,,,,,5.7109375,-14.58203125,1.71484375,-4.3359375,-1.0234375,0.359375,2.75,-18.84765625,-1.15234375,1.0
3312437,,,,,,,,5.08984375,-12.30859375,1.671875,-3.205078125,-1.361328125,0.0625,2.09765625,-16.47265625,-1.34375,1.0
3312438,,,,,,,,2.28515625,-10.140625,3.05078125,-3.109375,-1.556640625,0.39453125,-0.73828125,-14.25390625,-0.04296875,1.0
3312439,,,,,,,,1.20703125,-9.9453125,3.7421875,-3.19921875,-1.62890625,0.576171875,-1.84765625,-14.02734375,0.609375,1.0
3312440,36.013010666666666,129.31896433333335,32.8442402662221,67.75916831386424,2.6,242.0,,-4.70703125,-20.40625,8.80859375,-3.4375,-1.6015625,0.705078125,-4.53125,-12.1015625,0.80078125,1.0
3312441,,,,,,,,-2.19921875,-6.66015625,2.828125,-3.2421875,-1.44921875,0.47265625,-5.71875,-9.92578125,-1.0390625,1.0
3312442,,,,,,,,-2.8359375,-5.12890625,1.9765625,-3.13671875,-1.27734375,0.330078125,-6.17578125,-7.890625,-1.7265625,1.0
3312443,,,,,,,,-3.0859375,-0.56640625,1.05859375,-3.10546875,-0.9296875,0.546875,-6.37109375,-3.296875,-2.30078125,1.0
3312444,,,,,,,,-2.3984375,1.9921875,1.7890625,-3.044921875,-0.751953125,0.880859375,-5.30078125,-0.8046875,-1.49609375,1.0
3312445,,,,,,,,-1.546875,3.5078125,2.296875,-2.83203125,-0.638671875,1.1796875,-4.56640625,0.7265625,-1.15234375,1.0
3312446,,,,,,,,-0.38671875,5.51171875,2.87109375,-2.3828125,-0.66015625,1.373046875,-3.80078125,2.06640625,-0.84765625,1.0
3312447,,,,,,,,0.515625,5.92578125,2.8984375,-1.6875,-0.6875,1.505859375,-2.69140625,3.37109375,-1.0,1.0
3312448,,,,,,,,1.953125,4.734375,2.62890625,-0.630859375,-0.62109375,1.80078125,-1.6171875,1.4921875,-1.19140625,1.0
3312449,,,,,,,,2.21484375,2.671875,2.58984375,-0.048828125,-0.494140625,1.935546875,-1.46484375,-0.5,-1.23046875,1.0
3312450,36.01301016666666,129.31896166666667,32.60384346950836,67.70368779672721,2.6,248.0,,2.19921875,-0.4140625,2.4609375,0.291015625,-0.357421875,1.826171875,-1.54296875,-3.5625,-1.34375,1.0
3312451,,,,,,,,3.07421875,-0.23828125,2.66796875,0.259765625,-0.2109375,1.103515625,-0.73828125,-3.37109375,-1.11328125,1.0
3312452,,,,,,,,3.43359375,0.19140625,2.95703125,0.125,-0.2265625,0.716796875,-0.39453125,-2.9453125,-0.80859375,1.0
3312453,,,,,,,,4.01953125,1.74609375,3.83984375,-0.2890625,-0.27734375,-0.130859375,0.18359375,-1.41796875,0.07421875,1.0
3312454,,,,,,,,4.203125,3.65234375,4.53515625,-0.642578125,-0.298828125,-0.92578125,0.375,0.45703125,0.7578125,1.0
3312455,,,,,,,,3.83203125,5.921875,4.97265625,-0.83203125,-0.294921875,-1.71484375,0.06640625,2.64453125,1.18359375,1.0
3312456,,,,,,,,3.54296875,6.4921875,5.05859375,-0.876953125,-0.29296875,-1.84765625,-0.19921875,3.1796875,1.26171875,1.0
3312457,,,,,,,,2.78125,7.59375,5.43359375,-0.990234375,-0.2734375,-1.998046875,-0.890625,4.2109375,1.60546875,1.0
3312458,,,,,,,,2.17578125,7.57421875,5.94921875,-1.046875,-0.240234375,-1.896484375,-1.42578125,4.1328125,2.10546875,1.0
3312459,,,,,,,,1.68359375,6.875,6.76953125,-1.048828125,-0.23046875,-1.748046875,-1.88671875,3.40625,2.91015625,1.0
3312460,36.01300983333333,129.3189585,32.318372166142225,67.66670032825078,2.7,253.0,,1.16015625,4.80859375,8.09375,0.291015625,-0.357421875,1.826171875,-1.54296875,-3.5625,-1.34375,1.0
3312461,,,,,,,,1.0546875,2.2734375,8.078125,-0.662109375,-0.2421875,-0.51171875,-2.421875,-1.265625,4.17578125,1.0
3312462,,,,,,,,2.28125,-5.953125,6.67578125,-0.5390625,-0.27734375,0.205078125,-1.1953125,-9.50390625,2.75390625,1.0
3312463,,,,,,,,2.73046875,-15.6015625,6.90625,-0.666015625,-0.505859375,0.99609375,-0.77734375,-19.1171875,2.984375,1.0
3312464,,,,,,,,4.47265625,-37.59765625,7.60546875,-0.771484375,-0.6640625,1.392578125,0.91015625,-41.0625,3.67578125,1.0
3312465,,,,,,,,16.71484375,-58.40625,18.20703125,-0.515625,-0.71875,1.5,13.08984375,-61.83203125,14.28515625,1.0
3312466,,,,,,,,16.36328125,-53.01171875,23.29296875,-0.1328125,-0.5703125,1.486328125,12.70703125,-56.421875,19.37890625,1.0
3312467,,,,,,,,6.15234375,-22.61328125,7.2890625,0.1640625,-0.51953125,1.34765625,2.44140625,-26.0078125,3.40625,1.0
3312468,,,,,,,,-0.49609375,-17.44140625,2.234375,-0.888671875,-0.068359375,-0.958984375,-4.22265625,-20.83984375,-1.6484375,1.0
3312469,,,,,,,,-3.42578125,-17.1171875,3.91015625,-1.083984375,0.03125,-3.25,-7.05859375,-20.61328125,-0.00390625,1.0
3312470,36.01300916666666,129.31895616666668,32.108025058404536,67.59272672919376,2.4000000000000004,252.0,,-3.2421875,-16.08203125,5.99609375,0.291015625,-0.357421875,1.826171875,-1.54296875,-3.5625,-1.34375,1.0
3312471,,,,,,,,-0.2265625,-12.88671875,6.546875,0.73828125,-0.1875,-0.412109375,-3.6875,-16.5859375,2.640625,1.0
3312472,,,,,,,,0.37890625,-9.328125,4.4453125,0.720703125,0.013671875,0.453125,-3.07421875,-13.10546875,0.5703125,1.0
3312473,,,,,,,,1.98828125,-6.72265625,3.734375,0.12890625,0.0625,0.462890625,-1.46484375,-10.53515625,-0.1171875,1.0
