time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
3936639,,,,,,,,0.09375,-0.01171875,-0.0390625,0.01171875,-0.11328125,0.00390625,-0.5859375,-9.6484375,1.171875
3936640,36.012598000000004,129.31923433333336,57.18473468385304,21.970114134687616,0.0,65535.0,,0.0859375,0.02734375,-0.0390625,0.013671875,-0.119140625,0.005859375,-0.5859375,-9.609375,1.171875
3936641,,,,,,,,0.1171875,-0.01171875,-0.0390625,0.009765625,-0.11328125,0.005859375,-0.546875,-9.65234375,1.171875
3936642,,,,,,,,0.15625,-0.046875,-0.0390625,0.029296875,-0.107421875,0.009765625,-0.5078125,-9.69140625,1.171875
3936643,,,,,,,,0.1484375,-0.046875,-0.078125,0.025390625,-0.10546875,0.001953125,-0.5078125,-9.6875,1.1328125
3936644,,,,,,,,0.1484375,-0.046875,-0.078125,0.025390625,-0.107421875,0.001953125,-0.5078125,-9.6875,1.1328125
3936645,,,,,,,,0.17578125,-0.0390625,-0.0859375,0.021484375,-0.109375,0.001953125,-0.47265625,-9.69140625,1.1328125
3936646,,,,,,,,0.20703125,-0.046875,-0.15625,0.01171875,-0.111328125,0.00390625,-0.43359375,-9.69140625,1.0546875
3936647,,,,,,,,0.27734375,-0.046875,-0.078125,0.009765625,-0.095703125,0.0,-0.35546875,-9.69140625,1.1328125
3936648,,,,,,,,0.19921875,-0.00390625,-0.1171875,0.001953125,-0.1015625,0.001953125,-0.43359375,-9.65234375,1.09375
3936649,,,,,,,,0.15234375,0.02734375,-0.0390625,0.009765625,-0.09375,-0.00390625,-0.43359375,-9.6484375,1.171875
3936650,36.012598000000004,129.31923433333336,57.18473468385304,21.970114134687616,0.0,65535.0,,0.18359375,0.03515625,-0.0390625,0.0078125,-0.08984375,-0.005859375,-0.39453125,-9.61328125,1.09375
3936651,,,,,,,,0.20703125,-0.01171875,-0.078125,0.013671875,-0.078125,-0.01171875,-0.39453125,-9.65234375,1.1328125
3936652,,,,,,,,0.24609375,0.06640625,-0.078125,0.017578125,-0.068359375,-0.009765625,-0.35546875,-9.57421875,1.1328125
3936653,,,,,,,,0.19140625,-0.01171875,-0.03125,0.025390625,-0.068359375,-0.009765625,-0.39453125,-9.6484375,1.171875
3936654,,,,,,,,0.15234375,-0.00390625,0.0078125,0.01953125,-0.06640625,-0.015625,-0.43359375,-9.65234375,1.2109375
3936655,,,,,,,,0.13671875,0.03515625,-0.03125,0.01953125,-0.06640625,-0.017578125,-0.43359375,-9.609375,1.171875
