time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,validity
3347810,36.01305583333333,129.31895066666667,31.612187599761405,72.77082290488873,2.8000000000000003,49.0,,6.72265625,-17.25,6.55859375,-3.435546875,-0.80859375,1.0625,3.28515625,-21.11328125,3.98046875,1.0
3347811,,,,,,,,6.75390625,-14.70703125,4.63671875,-3.5234375,-1.2578125,-0.1171875,3.28515625,-18.5,1.98828125,1.0
3347812,,,,,,,,5.23046875,-11.3671875,4.38671875,-3.1640625,-1.666015625,-0.517578125,1.75390625,-15.13671875,1.68359375,1.0
3347813,,,,,,,,4.38671875,-10.890625,5.3203125,-3.12109375,-1.861328125,-0.384765625,0.91015625,-14.63671875,2.6015625,1.0
3347814,,,,,,,,3.0859375,-10.28125,6.1875,-3.0390625,-2.185546875,0.248046875,-0.4296875,-13.984375,3.4453125,1.0
3347815,,,,,,,,2.328125,-9.5546875,4.9609375,-2.771484375,-2.287109375,0.494140625,-1.234375,-13.22265625,2.21875,1.0
3347816,,,,,,,,1.00390625,-6.57421875,3.07421875,-2.736328125,-2.259765625,0.236328125,-2.61328125,-10.19140625,0.33984375,1.0
3347817,,,,,,,,-0.59765625,-4.7421875,2.74609375,-3.09765625,-2.154296875,0.05078125,-4.26171875,-8.31640625,-0.00390625,1.0
3347818,,,,,,,,-2.3203125,-1.640625,1.8125,-3.373046875,-2.013671875,0.052734375,-6.02734375,-5.171875,-0.9609375,1.0
3347819,,,,,,,,-2.47265625,0.87890625,1.19140625,-3.3203125,-1.76953125,0.212890625,-6.2109375,-2.60546875,-1.61328125,1.0
3347820,36.01305683333333,129.31895316666666,31.83755925739574,72.88178296051898,2.7,52.0,,-2.47265625,3.6796875,1.5390625,-3.435546875,-0.80859375,1.0625,-6.25,0.265625,-1.3046875,1.0
3347821,,,,,,,,-2.1640625,5.265625,2.265625,-2.8671875,-1.240234375,0.765625,-5.98828125,1.9140625,-0.6171875,1.0
3347822,,,,,,,,-1.4296875,6.421875,3.33984375,-2.392578125,-1.03515625,1.080078125,-5.296875,3.140625,0.41796875,1.0
3347823,,,,,,,,0.37890625,6.6171875,3.5859375,-1.73046875,-0.92578125,1.201171875,-3.53125,3.40625,0.6484375,1.0
3347824,,,,,,,,1.28515625,5.5,2.91796875,-0.46484375,-1.01953125,1.048828125,-2.6875,2.3359375,-0.00390625,1.0
3347825,,,,,,,,1.5703125,2.65625,2.265625,0.220703125,-0.98046875,0.931640625,-2.4609375,-0.5,-0.6171875,1.0
3347826,,,,,,,,1.2421875,1.1015625,3.0,0.408203125,-0.91015625,0.908203125,-2.8046875,-2.0703125,0.1484375,1.0
3347827,,,,,,,,0.93359375,-0.1171875,4.7109375,0.427734375,-0.736328125,0.8984375,-3.15234375,-3.30078125,1.9140625,1.0
3347828,,,,,,,,1.12890625,0.08984375,5.10546875,0.24609375,-0.41015625,0.560546875,-2.99609375,-3.1015625,2.37109375,1.0
3347829,,,,,,,,1.78515625,1.21875,5.0234375,0.259765625,-0.376953125,0.26953125,-2.34765625,-1.9921875,2.296875,1.0
3347830,36.01305833333333,129.31895583333335,32.07795551246039,73.04822269984867,2.8000000000000003,53.0,,3.15625,4.12890625,4.0625,-3.435546875,-0.80859375,1.0625,-0.96875,0.87890625,1.375,1.0
3347831,,,,,,,,4.24609375,5.88671875,3.41796875,0.365234375,-0.474609375,-0.93359375,0.14453125,2.5625,0.76171875,1.0
3347832,,,,,,,,5.31640625,7.734375,2.60546875,0.4921875,-0.5234375,-1.14453125,1.25390625,4.328125,-0.00390625,1.0
3347833,,,,,,,,5.79296875,7.7890625,3.2734375,0.53125,-0.5390625,-1.115234375,1.75390625,4.33203125,0.6875,1.0
3347834,,,,,,,,5.7734375,6.56640625,5.26953125,0.416015625,-0.5703125,-0.595703125,1.7890625,2.98828125,2.75390625,1.0
3347835,,,,,,,,4.6875,4.0078125,8.05859375,0.302734375,-0.59375,-0.068359375,0.71875,0.3828125,5.5859375,1.0
3347836,,,,,,,,4.93359375,-1.27734375,6.76953125,0.064453125,-0.609375,0.439453125,0.94921875,-4.9375,4.36328125,1.0
3347837,,,,,,,,6.90234375,-9.62109375,5.046875,0.16796875,-0.6328125,0.533203125,2.90234375,-13.29296875,2.6796875,1.0
3347838,,,,,,,,10.05078125,-27.78125,9.390625,0.185546875,-0.685546875,0.66015625,6.04296875,-31.453125,7.046875,1.0
3347839,,,,,,,,16.6015625,-64.90625,21.4921875,-0.34375,-0.859375,1.380859375,12.5546875,-68.5703125,19.1875,1.0
3347840,36.01305966666666,129.318959,32.36342623227864,73.19616940325018,3.0,59.0,,12.36328125,-46.16015625,14.484375,-3.435546875,-0.80859375,1.0625,-0.96875,0.87890625,1.375,1.0
3347841,,,,,,,,2.40234375,-15.32421875,-0.953125,-1.111328125,-0.490234375,0.04296875,2.40234375,-15.32421875,8.84765625,1.0
3347842,,,,,,,,-6.828125,-2.53125,-7.390625,-1.45703125,-0.19140625,-2.4765625,-6.828125,-2.53125,2.41015625,1.0
3347843,,,,,,,,-13.83984375,-9.46484375,-8.73046875,-2.681640625,0.263671875,-6.076171875,-13.8359375,-9.46484375,1.0703125,1.0
3347844,,,,,,,,-8.3984375,-20.45703125,-5.3984375,1.365234375,-0.865234375,-1.830078125,-8.3984375,-20.453125,4.40234375,1.0
