time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,validity
3520660,36.013025,129.31898199999998,34.43686416116279,69.34959021528415,2.9000000000000004,37.0,,-7.11328125,1.796875,4.23046875,0.609375,0.263671875,1.81640625,-3.4296875,-1.3359375,0.421875,1.0
3520661,,,,,,,,-7.07421875,-5.47265625,0.94921875,2.505859375,0.69140625,-2.673828125,-9.2890625,-7.73046875,5.58984375,1.0
3520662,,,,,,,,3.85546875,-23.16015625,-7.37890625,3.923828125,0.4921875,-1.9140625,1.66015625,-25.35546875,-2.68359375,1.0
3520663,,,,,,,,8.1015625,-35.6796875,-9.2109375,4.166015625,0.138671875,-0.9375,5.9140625,-37.80859375,-4.484375,1.0
3520664,,,,,,,,25.8984375,-70.87109375,18.29296875,3.19140625,-0.53125,1.08203125,23.7265625,-72.8515625,23.09765625,1.0
3520665,,,,,,,,23.75390625,-30.6796875,13.12890625,-0.146484375,-0.3359375,1.587890625,21.58203125,-32.5546875,18.00390625,1.0
3520666,,,,,,,,4.9140625,-28.99609375,-2.109375,2.130859375,0.193359375,-0.19140625,2.734375,-30.828125,2.796875,1.0
3520667,,,,,,,,-14.03515625,-4.77734375,1.96484375,1.5703125,1.201171875,-4.580078125,-16.1484375,-6.66015625,6.89453125,1.0
3520668,,,,,,,,-11.58984375,-6.828125,-2.265625,2.705078125,1.466796875,-4.029296875,-13.69921875,-8.7265625,2.6796875,1.0
3520669,,,,,,,,-2.3125,-12.75390625,-11.57421875,4.3125,1.841796875,-2.728515625,-4.4296875,-14.5859375,-6.58984375,1.0
3520670,36.013027,129.31898483333333,34.69228505288361,69.57150970428168,3.1,45.0,,1.2421875,-10.734375,-6.375,0.609375,0.263671875,1.81640625,-0.90625,-12.4453125,-1.34375,1.0
3520671,,,,,,,,5.89453125,-14.62109375,-5.8203125,2.26953125,0.802734375,1.45703125,3.69140625,-16.23828125,-0.765625,1.0
3520672,,,,,,,,8.4453125,-14.4921875,-6.2578125,2.462890625,0.783203125,1.876953125,6.21875,-16.046875,-1.1875,1.0
3520673,,,,,,,,9.1640625,-13.99609375,-4.3359375,4.857421875,2.15234375,1.74609375,6.796875,-15.2734375,0.765625,1.0
3520674,,,,,,,,9.296875,-10.14453125,-2.796875,4.095703125,1.8046875,1.330078125,6.71875,-10.9453125,2.3359375,1.0
3520675,,,,,,,,8.234375,-9.16796875,-4.12890625,3.0234375,1.705078125,0.830078125,5.5703125,-9.80078125,0.99609375,1.0
3520676,,,,,,,,7.69921875,-8.21875,-4.390625,2.474609375,1.626953125,0.595703125,4.99609375,-8.8046875,0.7265625,1.0
3520677,,,,,,,,6.703125,-6.54296875,-4.765625,1.837890625,1.48046875,0.43359375,3.921875,-7.04296875,0.34375,1.0
